time,state_mean,state_variance,one_step_forecast,one_step_variance
0,0.0,1.0,,
1,-0.014071701469995115,0.6309963099630996,0.0,2.75
2,-0.3805942824928739,0.5696274302084421,-0.014071701469995115,2.3809963099630997
3,-0.7823165951977131,0.556627522682872,-0.3805942824928739,2.319627430208442
4,-1.386583165852994,0.5536438092567254,-0.7823165951977131,2.306627522682872
5,-1.8023713285120877,0.5529352624856058,-1.386583165852994,2.3036438092567253
6,-1.493663233147764,0.5527651570637242,-1.8023713285120877,2.302935262485606
7,-0.4676930390312559,0.55272468100855,-1.493663233147764,2.302765157063724
8,-3.8349475486657614,0.5527153840049434,-0.4676930390312559,2.30272468100855
9,-3.266083360663862,0.5527134240762125,-3.8349475486657614,2.3027153840049435
10,-3.1137229998494944,0.552713096115895,-3.266083360663862,2.3027134240762126
11,-3.717097694454703,0.5527130848832839,-3.1137229998494944,2.302713096115895
12,-3.1478697539058884,0.552713112432949,-3.717097694454703,2.3027130848832837
13,-2.8186580246694315,0.552713132174245,-3.1478697539058884,2.302713112432949
14,-2.7897384112600214,0.5527131425031462,-2.8186580246694315,2.302713132174245
15,-1.7780759605798724,0.5527131473351156,-2.7897384112600214,2.302713142503146
16,-1.7105130630761676,0.5527131494778954,-1.7780759605798724,2.3027131473351155
17,-1.6747747133901403,0.5527131504010405,-1.7105130630761676,2.3027131494778956
18,-1.8612627731942337,0.552713150792163,-1.6747747133901403,2.3027131504010407
19,-1.7845883426158329,0.5527131509562275,-1.8612627731942337,2.302713150792163
20,-2.4680314267267534,0.5527131510246283,-1.7845883426158329,2.3027131509562278
21,-1.935524686390033,0.5527131510530375,-2.4680314267267534,2.302713151024628
22,-2.3333517447531458,0.552713151064809,-1.935524686390033,2.3027131510530374
23,-2.935464242459184,0.5527131510696793,-2.3333517447531458,2.302713151064809
24,-1.3331104405109295,0.5527131510716925,-2.935464242459184,2.302713151069679
25,-0.0816424101040687,0.5527131510725242,-1.3331104405109295,2.3027131510716927
26,0.4335094583094985,0.5527131510728676,-0.0816424101040687,2.302713151072524
27,0.5915218189306702,0.5527131510730092,0.4335094583094985,2.302713151072868
28,0.573092397956495,0.5527131510730678,0.5915218189306702,2.302713151073009
29,0.9699103533155384,0.552713151073092,0.573092397956495,2.3027131510730676
30,1.1904858391492499,0.552713151073102,0.9699103533155384,2.302713151073092
31,2.1661531656300843,0.552713151073106,1.1904858391492499,2.3027131510731023
32,2.018066854555666,0.5527131510731078,2.1661531656300843,2.302713151073106
33,3.0268660946346078,0.5527131510731086,2.018066854555666,2.3027131510731076
34,1.8914697440389086,0.5527131510731088,3.0268660946346078,2.3027131510731085
35,2.133225313271242,0.5527131510731089,1.8914697440389086,2.302713151073109
36,3.176991030310009,0.552713151073109,2.133225313271242,2.302713151073109
37,3.5901600516510785,0.552713151073109,3.176991030310009,2.302713151073109
38,3.592699006190455,0.552713151073109,3.5901600516510785,2.302713151073109
39,2.1112319458537074,0.552713151073109,3.592699006190455,2.302713151073109
40,2.994768216984766,0.552713151073109,2.1112319458537074,2.302713151073109
41,3.2381793968136763,0.552713151073109,2.994768216984766,2.302713151073109
42,2.3078589878803477,0.552713151073109,3.2381793968136763,2.302713151073109
43,0.3590206114760275,0.552713151073109,2.3078589878803477,2.302713151073109
44,-1.0814567069130177,0.552713151073109,0.3590206114760275,2.302713151073109
45,-0.7482368866366146,0.552713151073109,-1.0814567069130177,2.302713151073109
46,-1.4056901160816353,0.552713151073109,-0.7482368866366146,2.302713151073109
47,-2.4411148769429456,0.552713151073109,-1.4056901160816353,2.302713151073109
48,-3.8830543114275335,0.552713151073109,-2.4411148769429456,2.302713151073109
49,-4.258774588201327,0.552713151073109,-3.8830543114275335,2.302713151073109
50,-4.448007404646441,0.552713151073109,-4.258774588201327,2.302713151073109
51,-3.6835452722231015,0.552713151073109,-4.448007404646441,2.302713151073109
52,-3.0652464071423577,0.552713151073109,-3.6835452722231015,2.302713151073109
53,-2.0782825357528587,0.552713151073109,-3.0652464071423577,2.302713151073109
54,-2.5165420245532486,0.552713151073109,-2.0782825357528587,2.302713151073109
55,-1.836205564428171,0.552713151073109,-2.5165420245532486,2.302713151073109
56,-3.6183428953329715,0.552713151073109,-1.836205564428171,2.302713151073109
57,-3.364788029286639,0.552713151073109,-3.6183428953329715,2.302713151073109
58,-2.648907220400181,0.552713151073109,-3.364788029286639,2.302713151073109
