time,smoothed_mean,smoothed_variance
0.0,-0.35950972646073476,0.6972243622680053
1.0,-0.7190194529214695,0.7888974490720214
2.0,-0.5240257652345406,0.8182386482698497
3.0,-0.3147659199188012,0.827629692036131
4.0,-0.08537543769436273,0.8306354213666061
5.0,-1.3933093346754681,0.8315974452941821
6.0,-2.3470203307460853,0.8319053539364691
7.0,-3.1282423807288304,0.8320039042212153
8.0,-3.4459567955998747,0.8320354465597196
9.0,-3.9468222341360657,0.8320455421076006
10.0,-3.9364434630695952,0.8320487733229083
11.0,-4.295272687394363,0.8320498075166429
12.0,-5.0753589194774,0.8320501385241985
13.0,-6.342319921698649,0.8320502444675999
14.0,-6.580678643188762,0.832050278376204
15.0,-6.939207813706301,0.8320502892291071
16.0,-6.25750470562084,0.8320502927027241
17.0,-6.473865566934964,0.8320502938145019
18.0,-6.967400798106489,0.832050294170341
19.0,-6.897928192910442,0.832050294284232
20.0,-7.402723161907585,0.8320502943206847
21.0,-7.72221321502282,0.8320502943323518
22.0,-8.152941252592619,0.8320502943360858
23.0,-8.991454477927434,0.832050294337281
24.0,-9.489483398242786,0.8320502943376635
25.0,-9.49254909136867,0.8320502943377859
26.0,-9.136883856140772,0.8320502943378252
27.0,-8.95493954545571,0.8320502943378377
28.0,-8.27725576741206,0.8320502943378418
29.0,-6.97813122974328,0.8320502943378434
30.0,-5.702325417425509,0.8320502943378435
31.0,-5.266156937824213,0.8320502943378435
32.0,-5.306577068611772,0.8320502943378435
33.0,-5.675450320655621,0.8320502943378435
34.0,-6.439916098834856,0.8320502943378435
35.0,-6.534461371518373,0.8320502943378435
36.0,-7.088612853210715,0.8320502943378435
37.0,-6.939717930143632,0.8320502943378435
38.0,-7.033156562171767,0.8320502943378435
39.0,-7.04936389518324,0.8320502943378435
40.0,-7.3713245989135086,0.8320502943378435
41.0,-8.464411328074581,0.8320502943378435
42.0,-9.120907236313688,0.8320502943378435
43.0,-9.563936179788165,0.8320502943378435
44.0,-9.833854402480558,0.8320502943378435
45.0,-10.050501134026888,0.8320502943378435
46.0,-10.35010240726104,0.8320502943378435
47.0,-10.474641614808132,0.8320502943378435
48.0,-10.424903702018158,0.8320502943378435
49.0,-9.974276460112241,0.8320502943378435
50.0,-10.300129223221424,0.8320502943378435
51.0,-10.215597611908434,0.8320502943378435
52.0,-10.306578681053114,0.8320502943378435
53.0,-11.029124669362652,0.8320502943378435
54.0,-11.216966656791474,0.8320502943378435
55.0,-10.76768759698805,0.8320502943378435
56.0,-10.594802252975603,0.8320502943378435
57.0,-10.322168811197558,0.8320502943378435
58.0,-9.901786784120965,0.8320502943378435
59.0,-9.656574370035779,0.8320502943378435
60.0,-9.130245443471942,0.8320502943378435
61.0,-9.472740031728284,0.8320502943378435
62.0,-9.39557331271646,0.8320502943378435
63.0,-9.846132140478016,0.8320502943378435
64.0,-10.305596452738726,0.8320502943378435
65.0,-10.17621992007904,0.8320502943378435
66.0,-10.184368068773937,0.8320502943378435
67.0,-10.698633509214725,0.8320502943378435
68.0,-10.108529469038361,0.8320502943378435
69.0,-10.748596183752507,0.8320502943378436
70.0,-10.964347951344436,0.8320502943378442
71.0,-11.508242966087327,0.8320502943378456
72.0,-12.162372799716492,0.83205029433785
73.0,-12.757900767541464,0.832050294337864
74.0,-13.323372144093403,0.8320502943379079
75.0,-13.804498801003987,0.8320502943380448
76.0,-14.798005137660283,0.8320502943384722
77.0,-15.36624360300631,0.8320502943398077
78.0,-16.39544164243098,0.8320502943439805
79.0,-17.39603424562757,0.832050294357018
80.0,-17.309835974401306,0.8320502943977519
81.0,-16.886638200275172,0.8320502945250201
82.0,-17.099878604270703,0.8320502949226547
83.0,-17.34501762351187,0.8320502961650165
84.0,-16.810496029694573,0.8320503000466282
85.0,-16.473847900383582,0.832050312174262
86.0,-16.170862501079622,0.8320503500656112
87.0,-15.850035037401323,0.8320504684526251
88.0,-16.297982877921356,0.8320508383387677
89.0,-16.01008669919446,0.8320519940040234
90.0,-16.032871772622713,0.8320556047426502
91.0,-15.704197760761637,0.8320668860659977
92.0,-15.962641563079734,0.8321021332189013
93.0,-16.13664239297445,0.8322122587555549
94.0,-15.771441453804732,0.8325563328955699
95.0,-15.43642354699284,0.8336313516189673
96.0,-15.191187324500003,0.8369901197484324
97.0,-15.081757542611033,0.8474841912487483
98.0,-15.498850512526309,0.8802716693981487
99.0,-14.931655496532706,0.9827122448568791
100.0,-14.943875673878964,1.3027756377319943
