time,state_mean_1,state_mean_2,state_mean_3,state_mean_4,state_mean_5,state_mean_6,state_mean_7,state_variance_1,state_variance_2,state_variance_3,state_variance_4,state_variance_5,state_variance_6,state_variance_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.07612980180608588,0.09045124967059708,0.0,0.11306406208824633,0.0,0.08291364553138067,0.0,0.8344234079173838,0.9521514629948364,1.4,1.112736660929432,1.2,0.8917383820998279,1.4
2.0,0.1614125931105005,0.2587025973741457,-0.06038565156435058,0.39309272360952124,-0.06999000851329784,0.29508498794775123,-0.1587258717964235,0.8223840819330327,1.0931988396086674,1.7487221843312921,1.370531368036533,1.3296767800595877,1.076444438605209,1.4027119043426732
3.0,0.15588077843001388,0.25391356995958364,0.014464401571905757,0.35821247732180284,0.14440534490753565,0.30537554642637377,0.1093188851936322,0.8073003059877595,1.2609842082933505,2.042670420689302,1.5522286589455676,1.546337287364466,1.2405995615618737,1.404811641973608
4.0,0.24325027927260395,0.4115447537268836,0.013746260016905945,0.43875363274076984,0.19074308133478124,0.2932931383407435,0.12418421128972607,0.7755698402841911,1.4391403516166204,2.2827016799141244,1.6790015537474328,1.8289537942238403,1.2910128498171252,1.5674056962189307
5.0,0.028134117290322475,-0.05796337913267774,0.2703535718638137,-0.19531202078451804,0.6726091242381329,-0.20872665271344937,0.7588493033431727,0.7385524052166313,1.6277986002476252,2.463496147221892,1.7967419832762637,2.0929016636728064,1.3588715469492705,1.6716148057398532
6.0,0.11107766942403122,0.08862536053545009,0.17398365278530709,-0.284273587751238,0.3555096662880132,-0.5464270074283186,0.17701441632449375,0.7114069410676699,1.8269869430788086,2.587571428192641,1.9483795873931982,2.2868224956108403,1.496322873351272,1.6890825110881815
7.0,0.4250127576496654,1.0828314527398484,-0.17265481009651823,0.6352659148053109,-0.41526104962226706,0.029235875007134537,-1.2387910938714137,0.6945338899260586,2.0105285999343248,2.6717711141834006,2.1252434946317296,2.411999567073102,1.6116664259633682,1.733417859880801
8.0,0.30773851052490325,0.6298233937569748,0.2712435922465264,0.2961309254934062,0.19626653282142764,0.7016085435549261,-0.4207969766904926,0.6822888325970881,2.1529255450636424,2.7456814559324356,2.2828923417608253,2.5178130012422018,1.663255242662508,1.814972376726627
9.0,-0.25343690044438,-1.7720447967279105,1.1736149410131715,-2.1236904022518646,1.488672263674889,-0.09948582763910518,2.4255059803257057,0.6702593789106207,2.2523364277886206,2.8337260142579472,2.3961351257149057,2.644421052580537,1.7071340757313185,1.8683752671664553
10.0,0.13153306704452422,-0.4452780438368664,0.19726492992255296,-1.049270319355277,-0.6049369615051999,-1.2204098711643168,0.1312889495770413,0.6565883413735427,2.312943422197303,2.94289998777572,2.467899482696526,2.7860433106663365,1.7734853590174062,1.8851816821598821
11.0,0.34817823609791354,0.4160041358128392,-0.17602384098283624,0.26250614962756036,-1.5522085492804782,-0.6720600757554138,-1.6244047914925008,0.6420105247990899,2.332987400839808,3.0682877086185782,2.511536476737383,2.914356671045693,1.8312115687492576,1.903137770525073
12.0,0.01783066461307875,-1.0128462665285005,0.30060492249605253,-0.38993331275138043,-0.3660323439992621,0.27017611332316005,-0.248164703913617,0.6286012733518377,2.3171901127501555,3.198431878000198,2.546293433474427,3.0092537950432554,1.8612158738384659,1.9322971551638273
13.0,-0.036507084942677376,-1.3180691721611937,0.0850961956195894,-0.3988044074745566,-0.3572290068700571,0.30061232177019137,0.2586836571879068,0.6173765365062179,2.2846665738758474,3.3145056670377695,2.5906897678771785,3.0643265773515944,1.8824993447553602,1.9548947365113385
14.0,0.18189687160807955,-0.1808908222071839,-0.4793651452721915,0.8432364243963569,-1.1822433603992397,0.2869367151245278,-0.6156643904768049,0.6071733936149429,2.258993992001149,3.3937102528536998,2.644035437110635,3.0868229869225368,1.9110115663236666,1.9653070384537714
15.0,0.05071116836536782,-0.7153647338192906,-0.3792316108841567,0.7354008654029647,-0.1889532144441508,0.5021389450232426,0.35738353449380333,0.5954517831670425,2.2543020094472515,3.4191964337976275,2.682939718911994,3.0989345690420684,1.9407911522511625,1.9730411301678623
16.0,0.32639076698439107,0.724823085570921,-0.8268959260808408,1.8613429255621936,-0.6372102706156697,0.33542431084781543,-0.5432727679078553,0.5796442485355423,2.26966221873823,3.38849253713295,2.685474358635454,3.122470933949181,1.9642988218664714,1.9811800342181551
17.0,-0.261283174935242,-1.7077043532220708,-0.023430297617624385,-0.2617226769056975,2.0900077276689544,0.21833296500022703,2.122491326351435,0.5585332936141721,2.2924771987367483,3.3153306072586863,2.6542736231112,3.156946880409486,1.983135845014745,1.983746509478554
18.0,0.38142254829139277,1.0957474224807557,-1.0971747816284012,0.9855248705144866,-0.1384890900075897,-0.9670956297217863,-0.7104945625672203,0.5332381575438366,2.30824971488156,3.2242513072999643,2.6120681108999992,3.181522147713721,1.9971969403253904,1.9791861000707867
19.0,-0.06503029696557044,-0.5429535809452379,-0.35203447775673796,-0.6356387913033005,1.6336813640222283,-0.43324628741424803,0.4534681671175993,0.5068454586843218,2.3107884245821855,3.139871872861003,2.57966104131787,3.1802551744119825,2.0002390403571755,1.9736665761692813
20.0,0.1912097242381504,0.6770666756237307,-0.712797088715419,-0.43275544035821034,0.35694949227593187,-0.4714661596664643,-0.9654519088789755,0.48269848144302335,2.30447828490506,3.0768918178183435,2.5627516454178814,3.1581139811804184,1.9899808598484299,1.972126265108599
