time,sampled_mean
1.0,-4.052718490623653
2.0,-6.855883998379587
3.0,-4.904477551028874
4.0,-3.51509746926182
5.0,-2.878702260684683
6.0,-5.634745403899035
7.0,-7.582671281827059
8.0,-5.9837688190774
9.0,-2.5440759517539835
10.0,-0.9135124413830914
11.0,0.848950482371184
12.0,-4.567542377454027
13.0,-5.771049789587776
14.0,-4.0834758086244785
15.0,-4.601397550844317
16.0,-2.356326193323185
17.0,-1.7852309851919517
18.0,-1.1241206597067115
19.0,-2.919595879000703
20.0,-3.5662771181142565
21.0,-7.8530655666489
22.0,-7.31453679012519
23.0,-5.970660280140457
24.0,-8.126445803397699
25.0,-9.446912818587531
26.0,-8.637210369795868
27.0,-9.57014141690583
28.0,-11.639934161667034
29.0,-9.885079054568152
30.0,-8.540489991144526
31.0,-7.672038302960756
32.0,-8.266748683334356
33.0,-7.677746779331953
34.0,-8.977720227236208
35.0,-4.905686298177279
36.0,-4.977907722184754
37.0,-5.2844930330478626
38.0,-1.3651104458192553
39.0,-3.0180799797532645
40.0,-4.02734367740274
41.0,-4.902328053705169
42.0,-2.9804013507154803
43.0,-5.489638223041849
44.0,-5.06534993752664
45.0,-3.3121115006034842
46.0,-6.8059075389362205
47.0,-6.945109555176447
48.0,-7.064868872740392
49.0,-3.857781920795212
50.0,-2.9833414251299195
51.0,-0.6767073320128335
52.0,2.1356746743117996
53.0,0.6862578981967917
54.0,-0.1452662420639677
55.0,-1.2298532239476616
56.0,1.747919951838008
57.0,3.0372682373968045
58.0,4.371477462109423
59.0,0.9072223249675047
60.0,0.3283014348586228
61.0,1.4521893621145143
62.0,3.5286109561446772
63.0,2.587512706835705
64.0,2.2893021955415436
65.0,4.0362755339770064
66.0,1.4729787187679118
67.0,-1.1888686998443994
68.0,-1.4423074641015317
69.0,1.867821355467245
70.0,1.8739362376145425
71.0,1.9213482369361792
72.0,3.6966479646348236
73.0,3.45899235559123
74.0,4.02540344497266
75.0,1.1229860501151632
76.0,-2.7583784045588327
77.0,-2.4407180504878494
78.0,-5.653690752090699
79.0,-5.9055270393163655
80.0,-6.269229840779862
81.0,-10.281558217784596
82.0,-10.894286294821185
83.0,-8.017921925690699
84.0,-8.015319010790332
85.0,-6.089662334081615
86.0,-5.625361799448316
87.0,-3.720912476845209
88.0,-1.1451067610654309
89.0,-0.3949738974301724
90.0,2.229225312040202
91.0,-0.32782766912815203
92.0,1.3465482137524662
93.0,-0.8001563813350021
94.0,-0.6706362100963712
95.0,0.023684543686645368
96.0,0.6660944385935078
97.0,0.017618592056615385
98.0,0.4976914777459455
99.0,-0.9972352932213365
100.0,0.12964737424278278
101.0,1.8007402856776513
102.0,3.9734654913527208
103.0,3.9790268224332683
104.0,2.7204659428748106
105.0,3.6151925666728246
106.0,2.2927736556439515
107.0,-0.21508600748125928
108.0,3.550396619776134
109.0,1.570671077030112
110.0,-0.25726871826580594
111.0,0.48254714670070964
112.0,2.7169138142312588
113.0,-0.2580370774872803
114.0,-2.183211165208428
115.0,0.7625480327379439
116.0,-3.6542120132830784
117.0,-3.7449303804451373
118.0,-4.762814637716566
119.0,-4.019322583618195
120.0,-2.4357794573473286
121.0,-1.9179628107456066
122.0,-3.0769209892354183
123.0,-3.8760696972185316
124.0,-1.8448994118060056
125.0,-2.2905033169901508
126.0,-2.226433669128916
127.0,-3.4566446220900495
128.0,-4.492402107770509
129.0,-7.775137623693573
