time,sampled_mean
1.0,-3.6451870285044246
2.0,-6.204168889347171
3.0,-5.05977523471363
4.0,-4.949976812849766
5.0,-5.7913308132877015
6.0,-7.191626826663146
7.0,-6.917039424535031
8.0,-3.8729789729305586
9.0,-3.731023695023843
10.0,-0.8262228876459138
11.0,-2.1452563221874206
12.0,-5.265347908084816
13.0,-5.185877011630533
14.0,-5.35984377600473
15.0,-4.3339512894594465
16.0,-5.373806498273467
17.0,-2.175865841831851
18.0,-0.6748608065559011
19.0,-2.6963674212879263
20.0,-4.25114962339367
21.0,-7.352399203770082
22.0,-7.014355167203525
23.0,-5.2689958994842705
24.0,-8.608444617034614
25.0,-8.436110372778774
26.0,-8.375602163653838
27.0,-8.87229633709383
28.0,-9.124547260235744
29.0,-9.725338501193798
30.0,-8.573761715467542
31.0,-9.22638784984276
32.0,-8.425589113811919
33.0,-6.454943604554442
34.0,-7.387489799033573
35.0,-4.493090057077018
36.0,-5.058079637261839
37.0,-1.718166986503079
38.0,-1.4688837675146262
39.0,-3.851020581197161
40.0,-3.910207800159353
41.0,-4.252599974960587
42.0,-4.574806405235517
43.0,-5.548078060275015
44.0,-5.367052161421919
45.0,-5.520418591160711
46.0,-5.810579928382075
47.0,-5.496307652500944
48.0,-4.516444770906157
49.0,-6.115498822332194
50.0,-3.9002697799133155
51.0,-1.864052609179739
52.0,0.24654932753990258
53.0,-0.8713514757925196
54.0,-0.5073820196454796
55.0,0.15109714746107505
56.0,2.009314133771283
57.0,1.7913403758541304
58.0,0.19281755397940206
59.0,-2.493777770970119
60.0,-1.931612762794442
61.0,-0.32414348676500176
62.0,3.401253994580097
63.0,3.5536504494634675
64.0,2.543457032396235
65.0,3.5949064652846956
66.0,2.2015089835472708
67.0,1.2824065342579158
68.0,0.4098250178440875
69.0,2.613090069565396
70.0,0.5509392741938128
71.0,0.783325427024087
72.0,1.691756403940018
73.0,1.8365258533833126
74.0,2.3229867891101716
75.0,1.8311545687422526
76.0,-2.035061116306405
77.0,-3.3046868921379646
78.0,-5.431362343355169
79.0,-9.246125717363613
80.0,-8.891422168394685
81.0,-7.632224740608051
82.0,-10.000230912351942
83.0,-9.295475585083148
84.0,-6.738069949211685
85.0,-5.3498137367211
86.0,-5.7481938220729125
87.0,-5.959120758430794
88.0,-2.207716833326438
89.0,-0.19931167918485238
90.0,1.1459285591004102
91.0,-0.6220153082590516
92.0,-0.10253907428290286
93.0,-0.8143560973684384
94.0,-0.14007769946458587
95.0,-0.08963853135658938
96.0,-0.13900835132346875
97.0,-0.6935677322790407
98.0,-0.035506523066210556
99.0,0.47729629590554257
100.0,1.599038534426203
101.0,1.9945882824392782
102.0,1.579087153570981
103.0,3.2702524670832243
104.0,2.9155941772049436
105.0,1.8589550666965307
106.0,1.6197754642169686
107.0,2.2974868011397125
108.0,1.9388401530156327
109.0,1.6261644516844878
110.0,1.878898641324444
111.0,0.5656431756467684
112.0,0.6894271922592115
113.0,1.6640126858908355
114.0,-0.13838524953169437
115.0,-1.4016298831909193
116.0,-3.2059509384063145
117.0,-1.835708255811082
118.0,-3.895934165837844
119.0,-3.1283160877247886
120.0,-4.075663485342035
121.0,-4.65840915128009
122.0,-5.098248424150734
123.0,-5.9661518209474504
124.0,-3.50199204060017
125.0,-2.969570635599329
126.0,-3.7319592807467443
127.0,-6.536059309509314
128.0,-5.6636007283944245
129.0,-6.764165181063829
130.0,-6.594499168772871
131.0,-6.292784639758788
132.0,-7.263738643348864
133.0,-8.320765859399032
134.0,-9.715818849243114
135.0,-10.224369295228827
136.0,-10.896190597412511
137.0,-11.527407485017374
138.0,-11.758203164714983
139.0,-11.468825414717983
140.0,-11.540209565615283
141.0,-9.827671075574436
142.0,-10.510055696559037
143.0,-15.139721716933849
144.0,-14.05129466600513
145.0,-13.81009196367139
146.0,-14.653937361305408
147.0,-15.517480337322827
148.0,-15.041907401038392
149.0,-13.82272965038111
150.0,-16.025530224022514
151.0,-17.33270885660345
152.0,-18.66004876325558
153.0,-18.059035726004474
154.0,-15.462877131769353
155.0,-15.188278399788002
156.0,-15.65214144266428
157.0,-15.72319576427763
158.0,-14.53088427823604
159.0,-16.350919821423194
160.0,-15.274474915031504
161.0,-14.69469952726053
162.0,-17.27830430659144
163.0,-18.251983385021465
164.0,-18.590792386367358
165.0,-21.357260247761673
166.0,-22.078017403570385
167.0,-22.20404567140913
168.0,-23.07003010558409
169.0,-26.019990293858413
170.0,-21.80097641523779
171.0,-20.517544855505253
172.0,-21.783819222619126
173.0,-21.53983878491304
174.0,-21.132445407781653
175.0,-21.429646378896013
176.0,-20.156001791997085
177.0,-18.511746780947256
178.0,-18.892912053671942
179.0,-19.94022076742232
180.0,-20.322963457340286
181.0,-19.40084031185294
182.0,-18.327266415093625
183.0,-17.12264185115923
184.0,-16.129901295940286
185.0,-17.07061287220494
186.0,-15.9573376640251
187.0,-15.589262959037928
188.0,-13.491690988543137
189.0,-11.952456319466979
190.0,-10.581443690882084
191.0,-10.549498329255416
192.0,-10.666045823194644
