time,state_mean,v_mean,w_mean,m0_mean,c0_mean,v_variance,w_variance,m0_variance,c0_variance
0.0,0.047007897496897856,1.8770186886965226,4.788878885166477,0.0,1.0,2.079310983794941,16.736475713158484,0.0,0.0
1.0,-2.9446709227345984,1.9558740722431902,6.282550137779146,0.0,1.0,2.265034106419313,32.97252798631688,0.0,0.0
2.0,-8.695046861249033,2.22282464160674,11.29877270552836,0.0,1.0,3.685914175641624,114.58186104153178,0.0,0.0
3.0,-6.071153838125723,2.1448870815292445,11.035385257020437,0.0,1.0,3.448668182430885,64.53564648402804,0.0,0.0
4.0,-7.774963084192039,2.0639683778140223,9.709774696541364,0.0,1.0,3.0925280271599345,27.808693233242984,0.0,0.0
5.0,-5.931326363860271,1.8242546334841978,9.639635862830787,0.0,1.0,1.9103864736741059,42.30251733654414,0.0,0.0
6.0,-8.018068183265765,1.953275552753527,8.800824150411481,0.0,1.0,2.436233925791873,23.58933159945446,0.0,0.0
7.0,-10.524909102142301,1.9480563540375109,9.717491928767487,0.0,1.0,1.6748223799256954,36.76668390881258,0.0,0.0
8.0,-10.905361361527751,1.8990981455113023,8.45704659893479,0.0,1.0,1.1729129333759472,27.04570668713584,0.0,0.0
9.0,-10.961996652963562,1.950384655296084,7.748510336980592,0.0,1.0,1.6496219846330349,16.190864165048005,0.0,0.0
10.0,-7.158803489279541,1.955754558201074,8.460694353336931,0.0,1.0,1.6775855886306346,14.741485445076501,0.0,0.0
11.0,-9.913413473021446,2.0027737961974927,7.738230099849467,0.0,1.0,1.7305133722963688,9.33077766953232,0.0,0.0
12.0,-7.361866804191441,2.037203156459563,8.20731099593508,0.0,1.0,1.2063816038753579,14.896765904632847,0.0,0.0
13.0,-5.992921776129039,2.099691159070666,8.012155827047197,0.0,1.0,1.5052201678758688,12.33444462944711,0.0,0.0
14.0,-6.27262672389343,1.9293411315555162,7.5939911516336345,0.0,1.0,1.1180490529772364,9.003805885611644,0.0,0.0
15.0,-9.790500082773365,1.999017931127462,8.006810807494945,0.0,1.0,1.3840496517464016,7.790253454431381,0.0,0.0
16.0,-10.095896546408866,1.8763923849931152,7.698009853791358,0.0,1.0,0.7526871429703764,6.827294477618275,0.0,0.0
17.0,-8.79085604678713,1.8473541651748249,7.40628557316979,0.0,1.0,0.9005311560468786,7.985695942403543,0.0,0.0
18.0,-6.676801191788251,1.8658594831702042,7.396424080023503,0.0,1.0,0.825263379432528,7.192139756669594,0.0,0.0
19.0,-5.527664607560697,1.7384848717028742,7.6227607544144895,0.0,1.0,0.7094111641340638,7.051460013269368,0.0,0.0
20.0,-6.182975638150846,1.8288711652079332,7.126668070778374,0.0,1.0,0.6464379252632537,7.304646998387174,0.0,0.0
21.0,-7.250643116505831,1.8022085729654553,6.911049694133186,0.0,1.0,0.576294839348836,6.310032168989807,0.0,0.0
22.0,-3.3191546372839738,1.7810812496970263,7.107065987367375,0.0,1.0,0.8019277679116357,6.188170174179429,0.0,0.0
23.0,-4.526380564864943,1.8129904933360184,7.685213045254199,0.0,1.0,0.6798656056011044,9.830591738104596,0.0,0.0
24.0,-3.2639890957631237,1.7500242660517666,7.076714346155647,0.0,1.0,0.595946987878241,4.864864386489323,0.0,0.0
25.0,-4.096777079268062,1.697000431573292,7.053484227813314,0.0,1.0,0.6037946799945705,5.564179656578929,0.0,0.0
26.0,-7.409497839348741,1.6566919575597923,7.224461362898948,0.0,1.0,0.5266521630024027,6.975135476580719,0.0,0.0
27.0,-4.432493745256958,1.8040335989943488,7.5437961679111725,0.0,1.0,0.448042249278482,7.191507914867538,0.0,0.0
28.0,-6.91129287047861,1.9451169153908188,7.653904594970265,0.0,1.0,0.6852892216261831,6.817132024982414,0.0,0.0
29.0,-4.09272875019881,1.851863150766261,7.641691871401985,0.0,1.0,0.4583293667825419,6.958552506932264,0.0,0.0
30.0,-0.7654221856031149,1.7038771317326444,7.8217865068015815,0.0,1.0,0.4183946906278746,7.21458923508433,0.0,0.0
31.0,3.6892014720030644,1.8045943019037767,8.560099044941891,0.0,1.0,0.49035938770087306,6.472974047579356,0.0,0.0
32.0,-1.3977352330591182,2.0196690907567216,8.758740148181772,0.0,1.0,0.40211068601831723,10.002692963707277,0.0,0.0
33.0,-0.485693263636251,1.944746112518258,8.484430755363345,0.0,1.0,0.4129895029286068,7.06498212110106,0.0,0.0
34.0,-0.8436537955787203,1.9522196274355947,8.511421075645917,0.0,1.0,0.46815610587639106,5.814072613177605,0.0,0.0
35.0,0.3065604961523993,1.9712586669312318,8.255183669607476,0.0,1.0,0.5279396830273977,6.4638488217851755,0.0,0.0
36.0,0.8804406693858854,1.9380488157578268,8.11067299315463,0.0,1.0,0.3961385557793884,5.924121994106296,0.0,0.0
37.0,2.571749539339063,2.0043984449679098,7.662287258986655,0.0,1.0,0.38922241527848106,3.8799159164679216,0.0,0.0
38.0,3.22042350284147,1.9631407133331142,7.62693381280948,0.0,1.0,0.4782422431497801,5.14087787331202,0.0,0.0
39.0,0.6796583067033799,1.9800965682845617,8.016115226763098,0.0,1.0,0.534331458523237,5.471331817368504,0.0,0.0
40.0,-0.02145437977905658,1.9870960865864815,7.5578079493562775,0.0,1.0,0.43601106897838426,4.193215425792082,0.0,0.0
41.0,-1.6912089457257893,1.8933588467894629,7.837962619347775,0.0,1.0,0.4121636528071996,3.844547300778833,0.0,0.0
42.0,-1.166872821826546,1.9475418299205256,7.490068363300731,0.0,1.0,0.3994344886229646,3.7806140677986138,0.0,0.0
43.0,-0.42982397636586966,1.9678733198925087,7.50672622861878,0.0,1.0,0.4292241392935218,3.910405059137337,0.0,0.0
44.0,-1.4265924713175568,1.978334107404306,7.4662611385743,0.0,1.0,0.38438211040817427,3.950311679242369,0.0,0.0
45.0,-2.7223313338535395,1.907603262113746,7.184326364511928,0.0,1.0,0.39504043538797756,3.331917974109141,0.0,0.0
46.0,-3.948672668285357,1.8995309920238874,6.910766143710371,0.0,1.0,0.3185393134723224,3.114574097052418,0.0,0.0
47.0,-4.0598922787023985,1.9040953551691897,6.86041638612606,0.0,1.0,0.33517168761317295,2.8199992545280836,0.0,0.0
48.0,-5.642584233906659,1.8597587427533846,6.821089917018303,0.0,1.0,0.2872681993776557,3.0073885894315247,0.0,0.0
49.0,-6.322714379257461,1.9070501336824643,6.900769689287427,0.0,1.0,0.2851805208898267,2.8814218692189106,0.0,0.0
50.0,-7.20342281469678,1.9108013024555939,6.8552067512348325,0.0,1.0,0.3434036338159963,3.3576073468890852,0.0,0.0
51.0,-10.798714628662532,1.8593586749823434,6.981520723877772,0.0,1.0,0.2987539491533773,2.789068656553519,0.0,0.0
52.0,-10.621383094373995,1.8796640231588508,6.634404560781337,0.0,1.0,0.2533316940809642,2.597920744502586,0.0,0.0
53.0,-12.687117096393427,1.8248458277116388,6.545108539691517,0.0,1.0,0.2504764508674449,2.1578496577284048,0.0,0.0
54.0,-11.831207126913812,1.8325475167277505,6.580394423553699,0.0,1.0,0.21173045691918538,2.062435307380634,0.0,0.0
55.0,-13.808358186398799,1.7706069334956251,6.810855236904077,0.0,1.0,0.24330472294787528,2.905452020356516,0.0,0.0
56.0,-14.715726164663842,1.761855824933719,6.4338409765756674,0.0,1.0,0.21396096947941642,1.8666188049765344,0.0,0.0
57.0,-14.240258152731798,1.875780224226783,6.280831631308429,0.0,1.0,0.22300729596544316,1.6629010712843615,0.0,0.0
58.0,-13.444934321447496,1.832803487473386,6.2462940273574725,0.0,1.0,0.24675034267191193,1.8179048813907333,0.0,0.0
59.0,-12.61075113797933,1.843573762879196,6.254970838836172,0.0,1.0,0.21858001072884561,1.7256339475380316,0.0,0.0
60.0,-12.379727312499925,1.8083799175286506,6.101667754506791,0.0,1.0,0.1854018583069222,1.4585077841004463,0.0,0.0
61.0,-10.087132860232106,1.798863457893652,6.000039595648192,0.0,1.0,0.17919701651514244,1.5676006560775555,0.0,0.0
62.0,-8.229935700305155,1.7919402208707829,6.221845545113324,0.0,1.0,0.16631907085334885,1.3281930781708917,0.0,0.0
63.0,-7.312329425835827,1.802542952939835,6.010950221852808,0.0,1.0,0.1736355776950786,1.246072319889744,0.0,0.0
64.0,-8.518551100561837,1.8298339345944654,5.932030077170939,0.0,1.0,0.15274127446435137,1.2457025814904747,0.0,0.0
65.0,-9.132162892752548,1.8080430777065855,5.975486711061426,0.0,1.0,0.18008829425474632,1.3356213075319272,0.0,0.0
66.0,-8.586185285601903,1.7621182095997565,5.840081345443312,0.0,1.0,0.2002651427654254,1.0859280608618342,0.0,0.0
67.0,-11.78233461976181,1.7638377686361426,5.755510419234654,0.0,1.0,0.14655776429088138,0.7932909320404142,0.0,0.0
68.0,-9.279301307510481,1.7760143281185863,6.112648335954472,0.0,1.0,0.2277208689801692,1.4274615317922958,0.0,0.0
69.0,-7.778741357895635,1.8094581663643525,6.003389967782596,0.0,1.0,0.1997099950839911,1.2268642882337508,0.0,0.0
70.0,-8.005518661706825,1.7392424436843144,5.801431632166759,0.0,1.0,0.16164928338980433,0.9564403681060162,0.0,0.0
71.0,-9.769638301964125,1.7455135660592942,5.844424007971022,0.0,1.0,0.18006748606990824,1.0418405754249955,0.0,0.0
72.0,-7.8145194849478905,1.7070699207105666,5.867228217429275,0.0,1.0,0.18330847054156127,1.284841670922916,0.0,0.0
73.0,-7.491871934285775,1.6977723643357951,5.913647924875282,0.0,1.0,0.18265295205303825,1.1795014066494283,0.0,0.0
74.0,-7.95404232725375,1.78775437551967,5.769493284280913,0.0,1.0,0.1935008945927549,1.0629807270290597,0.0,0.0
75.0,-8.259654982441377,1.7020602321678544,5.691128186878031,0.0,1.0,0.1762977332786638,0.8887415214445054,0.0,0.0
76.0,-5.787127030797643,1.7368030048278875,5.735250646312879,0.0,1.0,0.16203308035154085,1.2720560613785372,0.0,0.0
77.0,-4.548300274693698,1.727045710457421,5.800575320033116,0.0,1.0,0.15252813476010504,1.0232131446704715,0.0,0.0
78.0,-6.19692445512558,1.6984704591445834,5.775566909006953,0.0,1.0,0.16325451255541293,0.928527668394242,0.0,0.0
79.0,-8.576820331531524,1.723907261858428,5.931936768812731,0.0,1.0,0.14271934131586028,0.9372509015461421,0.0,0.0
80.0,-9.228798460105745,1.7011096717977414,5.847022563772082,0.0,1.0,0.14900593144393057,1.179442927521399,0.0,0.0
81.0,-11.697796066964283,1.6759092957482136,5.739458632567004,0.0,1.0,0.14413980485386357,0.8453105230781288,0.0,0.0
82.0,-8.44940753283275,1.7311951591215788,6.123658588124881,0.0,1.0,0.1671858645109878,1.5259689590808863,0.0,0.0
83.0,-4.411487383364837,1.6472402837467703,6.221185100646866,0.0,1.0,0.12358979770665075,1.130014865983228,0.0,0.0
84.0,-5.048301510587931,1.7116081346412508,6.376413034151939,0.0,1.0,0.15852056893882144,1.2782933664715732,0.0,0.0
85.0,-5.193689794037073,1.689025347299919,6.273590127126647,0.0,1.0,0.13230111409119705,1.2012477668290678,0.0,0.0
86.0,-5.681223767522136,1.6878783694096988,6.192052709077191,0.0,1.0,0.1562729061953506,0.9783684524387921,0.0,0.0
87.0,-4.3277195578242145,1.6906861152290131,6.196633544278514,0.0,1.0,0.11347345267765202,1.1357190589357262,0.0,0.0
88.0,-4.286137394222497,1.6436522307796724,6.035552383418988,0.0,1.0,0.13515578507871945,1.1148658952872805,0.0,0.0
89.0,-6.765134861906016,1.670702614043531,6.064041567132844,0.0,1.0,0.11538200820414353,0.9558641313269188,0.0,0.0
90.0,-5.244724902556839,1.6417742904272812,6.183935377135898,0.0,1.0,0.11319829996036784,0.8954872816738917,0.0,0.0
91.0,-8.035249982575417,1.6532197857363424,6.006750387140327,0.0,1.0,0.10946024801660698,0.8505347875475511,0.0,0.0
92.0,-3.7001999007667385,1.7710845045977437,5.993388654774495,0.0,1.0,0.10201869652345287,0.6286159341483023,0.0,0.0
93.0,-3.439034207507741,1.6832419548575446,6.153658047480959,0.0,1.0,0.11927613299648704,0.972796489128808,0.0,0.0
94.0,-5.9293115985722995,1.7296385614232372,6.157448476120021,0.0,1.0,0.13020116479830918,1.0186246334868145,0.0,0.0
95.0,-4.410780515165318,1.6997094661639225,6.181525803866883,0.0,1.0,0.12736403951878397,1.110976868220101,0.0,0.0
96.0,-2.5791222934252453,1.7305473042789303,6.069816312180143,0.0,1.0,0.12329278335759951,0.8524365578991638,0.0,0.0
