time,state_mean,v_mean,w_mean,m0_mean,c0_mean,v_variance,w_variance,m0_variance,c0_variance
0.0,0.0023633597900598845,1.9395040991758246,5.242707428502914,0.0,1.0,2.4366679393104813,40.059132688837096,0.0,0.0
1.0,-0.9151818034850503,2.123253862425158,4.719156622223857,0.0,1.0,2.423933821278389,12.074578185413703,0.0,0.0
2.0,1.7809339837773823,2.0097890924661597,4.573631985693273,0.0,1.0,2.4344604836441395,8.571660026692726,0.0,0.0
3.0,-0.353156516134711,2.3127782664940115,4.245709595487353,0.0,1.0,2.456328359605852,8.667971518317584,0.0,0.0
4.0,0.09992502653392185,2.037286376532881,4.185428760863004,0.0,1.0,1.5032412945819427,6.128963389822848,0.0,0.0
5.0,3.3328253216771535,2.4595913089487453,5.017573486393954,0.0,1.0,1.5839351711219412,8.445755601670118,0.0,0.0
6.0,3.141858703879206,2.2831487198793283,4.599698424659761,0.0,1.0,1.0888282485500478,5.780243410504192,0.0,0.0
7.0,1.3116331372414742,2.217845406812677,4.311662050881888,0.0,1.0,0.8539652723202679,4.0957641289296705,0.0,0.0
8.0,-0.0712701660186746,2.129729852392917,4.472928008867654,0.0,1.0,0.6679042424349204,4.458954399849978,0.0,0.0
9.0,2.6745457268139283,2.2606765544457943,5.036243450344771,0.0,1.0,0.4092156218619583,5.063408461326415,0.0,0.0
10.0,2.6476003427589108,2.1911776391841085,5.033391593768277,0.0,1.0,0.3288826591318473,4.7991515538387866,0.0,0.0
11.0,4.122536784584112,2.2182020901284605,4.732978771822895,0.0,1.0,0.28017053219670623,4.533117373990214,0.0,0.0
12.0,2.268472426841876,2.165841367543051,4.1915095122660375,0.0,1.0,0.21976756815678253,2.8141277943896124,0.0,0.0
13.0,2.298811045968315,2.1379549927960295,4.227861800719101,0.0,1.0,0.20270077296109856,2.7778106857897606,0.0,0.0
14.0,0.8354470605944317,2.174297054584975,4.003991305000811,0.0,1.0,0.19647684743125585,2.0485624786867915,0.0,0.0
15.0,5.468961643740866,2.0286467391798486,4.297023544525766,0.0,1.0,0.13923137428933016,0.765024162794216,0.0,0.0
16.0,4.908781388332106,2.119670650390079,4.112009028242473,0.0,1.0,0.16742357510807107,1.1610771254791754,0.0,0.0
17.0,5.769581870286663,2.0028996101141523,4.3715907197015555,0.0,1.0,0.10815050606375638,1.0446347326085026,0.0,0.0
18.0,3.113382452557257,2.217544219853177,4.4378583805230525,0.0,1.0,0.12851662409774192,1.1884631232055967,0.0,0.0
19.0,-0.35885765216408944,2.2252692756527477,4.654888708500856,0.0,1.0,0.07723029391926554,1.7381672660392808,0.0,0.0
20.0,-3.155046292080971,2.2046134603183654,4.991007809371345,0.0,1.0,0.05437779549114271,1.401946056083129,0.0,0.0
21.0,-4.725739642431868,2.1673666661672475,5.03270250262167,0.0,1.0,0.054530158702659856,1.2246766925177304,0.0,0.0
22.0,-2.9088504915365374,2.178575854274228,4.983488943539715,0.0,1.0,0.06149937740293026,1.1421245663049868,0.0,0.0
23.0,-2.532385341475709,2.155840316773223,5.028131600633845,0.0,1.0,0.06912422043222263,1.3247847654142895,0.0,0.0
24.0,-2.6866625858161632,2.1516984072310623,5.054739578126053,0.0,1.0,0.07373631509300775,1.490288283820469,0.0,0.0
25.0,-5.73059285388538,2.125280321113539,4.9323494128842515,0.0,1.0,0.08508380288209841,1.4583902189805007,0.0,0.0
26.0,-4.667872058113037,2.15265342882469,4.747628114652898,0.0,1.0,0.10287966638381446,1.4913933199337552,0.0,0.0
27.0,-4.890974078241957,2.157532196563048,4.673534964937846,0.0,1.0,0.11277021655168502,1.5361628763980155,0.0,0.0
28.0,-0.9244963782504967,2.3091087404931474,4.855192410346902,0.0,1.0,0.15779432380658706,1.880914517908385,0.0,0.0
29.0,-1.456955645282194,2.31038067940594,4.876999070333638,0.0,1.0,0.13109351299807162,2.065629820519679,0.0,0.0
30.0,-3.136105593735604,2.2420824632434573,4.578464361673135,0.0,1.0,0.14427646921308065,2.2840872227391196,0.0,0.0
31.0,-4.165915287169586,2.2133810964282508,4.767794441936389,0.0,1.0,0.13065016584020162,2.824356537029172,0.0,0.0
32.0,-3.849576976885685,2.2131756383567773,4.849335543592768,0.0,1.0,0.15090038252892812,2.6293523572259816,0.0,0.0
