time,state_mean_1,state_mean_2,state_variance_1,state_variance_2
0.0,0.0,0.0,200.0,200.0
1.0,14.316202364164877,7.087228893150962,55.17560975609754,55.17560975609754
2.0,9.339254798535327,-3.688378762792504,10.407390228818798,10.407390228818798
3.0,6.382494753816795,-3.2663218467040807,6.135833270520841,6.135833270520841
4.0,3.775672935626801,-2.96590568870778,5.124509946042581,5.124509946042581
5.0,0.5803591006878943,-3.060848013591498,4.829596688566138,4.829596688566138
6.0,-5.677326447184273,-4.346391549814795,4.746886683911824,4.746886683911824
7.0,-10.735725651518395,-4.630896010867367,4.726662566720987,4.726662566720987
8.0,-18.243386911006375,-5.779312408609856,4.722563171649369,4.722563171649369
9.0,-26.510593944625832,-6.772456375380462,4.721908169876956,4.721908169876956
10.0,-33.987852252273285,-7.053814809810323,4.7218289756079095,4.7218289756079095
11.0,-36.24569158986037,-5.139234505007414,4.721817814089874,4.721817814089874
12.0,-43.28164348049042,-5.896414833570486,4.721812556886533,4.721812556886533
13.0,-52.81948129941483,-7.350090198876185,4.72180957263113,4.72180957263113
14.0,-60.960824576262425,-7.66596247058719,4.721808290538321,4.721808290538321
15.0,-72.6044670792675,-9.253872405641467,4.721807858853385,4.721807858853385
16.0,-78.54592086291623,-7.931538235388928,4.721807740563245,4.721807740563245
17.0,-84.24953141174933,-7.0421383064458,4.721807713991605,4.721807713991605
18.0,-95.13760883460122,-8.577456528400477,4.72180770920792,4.72180770920792
19.0,-102.82537666934343,-8.22228833098173,4.721807708550717,4.721807708550717
20.0,-110.6610001073655,-8.067929762615323,4.721807708475676,4.721807708475676
21.0,-117.06491825148773,-7.403647962393862,4.721807708455453,4.721807708455453
22.0,-124.24981385695312,-7.316320922217089,4.721807708443334,4.721807708443334
23.0,-131.61008018834363,-7.333864150396877,4.721807708437405,4.721807708437405
24.0,-139.47346199595435,-7.545250260128302,4.721807708435185,4.721807708435185
25.0,-148.96677809974955,-8.322927934485792,4.72180770843452,4.72180770843452
26.0,-154.13078825220427,-7.061872081469971,4.721807708434355,4.721807708434355
27.0,-166.8005102921041,-9.30055396586062,4.721807708434319,4.721807708434319
28.0,-175.44084122993831,-9.036989615270533,4.721807708434314,4.721807708434314
29.0,-183.61192982758766,-8.691317577645847,4.721807708434311,4.721807708434311
30.0,-194.935337885206,-9.742061324228072,4.72180770843431,4.72180770843431
31.0,-204.04285925387634,-9.488749785231969,4.72180770843431,4.72180770843431
32.0,-209.32746374538064,-7.810433856991711,4.72180770843431,4.72180770843431
33.0,-219.8549300393794,-8.895086859678775,4.72180770843431,4.72180770843431
34.0,-229.77239391510145,-9.30322490220841,4.72180770843431,4.72180770843431
35.0,-238.23757798992168,-8.968674792529843,4.72180770843431,4.72180770843431
36.0,-242.4082168666141,-7.053274743479963,4.72180770843431,4.72180770843431
37.0,-245.9628556968648,-5.656601705312967,4.72180770843431,4.72180770843431
38.0,-255.07188517386632,-7.034828221168313,4.72180770843431,4.72180770843431
39.0,-256.7304985933808,-4.888616255392892,4.72180770843431,4.72180770843431
40.0,-267.0435065661893,-7.05406068804263,4.72180770843431,4.72180770843431
41.0,-274.4901551057933,-7.210783731247645,4.72180770843431,4.72180770843431
42.0,-280.0797393894664,-6.563592764803624,4.72180770843431,4.72180770843431
43.0,-286.77722012046394,-6.617041513732028,4.72180770843431,4.72180770843431
44.0,-294.16206541466033,-6.923552641318164,4.72180770843431,4.72180770843431
45.0,-305.11647040223545,-8.53268915408348,4.72180770843431,4.72180770843431
46.0,-313.9124987626447,-8.637815488600523,4.72180770843431,4.72180770843431
47.0,-321.23220311848604,-8.111618900532777,4.72180770843431,4.72180770843431
48.0,-331.79680328459557,-9.090861348655235,4.72180770843431,4.72180770843431
49.0,-342.7414629660873,-9.830906958969068,4.72180770843431,4.72180770843431
50.0,-355.17433896200987,-10.869626074129574,4.72180770843431,4.72180770843431
51.0,-368.43204145156807,-11.822958179908218,4.72180770843431,4.72180770843431
52.0,-376.802094155151,-10.444540961961291,4.72180770843431,4.72180770843431
53.0,-388.9048980221449,-11.106527846876617,4.72180770843431,4.72180770843431
54.0,-401.0501260323612,-11.521182171835271,4.72180770843431,4.72180770843431
55.0,-412.2382506696173,-11.388223930325712,4.72180770843431,4.72180770843431
56.0,-422.2020754674812,-10.819596638650335,4.72180770843431,4.72180770843431
57.0,-434.5837307982821,-11.443178318330549,4.72180770843431,4.72180770843431
58.0,-447.5013318009299,-12.031775263288749,4.72180770843431,4.72180770843431
59.0,-458.58374140181775,-11.652783720035254,4.72180770843431,4.72180770843431
60.0,-472.2117669656564,-12.441310190214061,4.72180770843431,4.72180770843431
61.0,-481.55451138679956,-11.204347164057392,4.72180770843431,4.72180770843431
62.0,-493.3099440626536,-11.4243432697226,4.72180770843431,4.72180770843431
63.0,-506.41878804266526,-12.096804418348473,4.72180770843431,4.72180770843431
64.0,-516.5557155127829,-11.314411691695055,4.72180770843431,4.72180770843431
65.0,-527.7951098585061,-11.284464390200345,4.72180770843431,4.72180770843431
66.0,-542.9328065952701,-12.822694106498869,4.72180770843431,4.72180770843431
67.0,-554.4894935538485,-12.317297691015606,4.72180770843431,4.72180770843431
68.0,-566.4920849923166,-12.191665373513281,4.72180770843431,4.72180770843431
69.0,-580.6878714661817,-12.99172058803242,4.72180770843431,4.72180770843431
70.0,-592.1428806740814,-12.378257682686916,4.72180770843431,4.72180770843431
71.0,-605.4033745266942,-12.730450795200237,4.72180770843431,4.72180770843431
72.0,-614.7795272368979,-11.391398143400972,4.72180770843431,4.72180770843431
73.0,-628.7610572960467,-12.425391820291416,4.72180770843431,4.72180770843431
74.0,-645.6364807068006,-14.201866793834343,4.72180770843431,4.72180770843431
75.0,-655.9737853966551,-12.659114181440133,4.72180770843431,4.72180770843431
76.0,-667.3841654954791,-12.160613260428226,4.72180770843431,4.72180770843431
77.0,-678.2977317010432,-11.662785809372659,4.72180770843431,4.72180770843431
78.0,-692.2379931506397,-12.571965529890319,4.72180770843431,4.72180770843431
79.0,-703.8393399812496,-12.184489667512176,4.72180770843431,4.72180770843431
80.0,-714.0149462283993,-11.382533310912825,4.72180770843431,4.72180770843431
81.0,-727.3604493923939,-12.166160740725473,4.72180770843431,4.72180770843431
82.0,-738.1664786149936,-11.62318940365541,4.72180770843431,4.72180770843431
83.0,-752.1758295365834,-12.575757072731488,4.72180770843431,4.72180770843431
84.0,-764.9285837349099,-12.646415214728215,4.72180770843431,4.72180770843431
85.0,-775.9688936383442,-12.005249903339587,4.72180770843431,4.72180770843431
86.0,-787.5021155600715,-11.816813961009784,4.72180770843431,4.72180770843431
87.0,-801.1066987926738,-12.530500438260875,4.72180770843431,4.72180770843431
88.0,-815.8969039602983,-13.432585921859408,4.72180770843431,4.72180770843431
89.0,-829.9424832732288,-13.677295964035048,4.72180770843431,4.72180770843431
90.0,-841.0356734657661,-12.645707954212279,4.72180770843431,4.72180770843431
91.0,-854.77469384269,-13.082163767553796,4.72180770843431,4.72180770843431
92.0,-868.8383455033623,-13.473978666732815,4.72180770843431,4.72180770843431
