time,state_mean,state_variance,v_mean,v_variance
0.0,0.0,100.0,2.0,4.0
1.0,-3.866799525240035,1.9619047619047618,1.4319901058649347,1.0252978316475336
2.0,-8.697021311230973,1.1112785981371964,3.243108756953755,3.5059181364767102
3.0,-7.100756013695265,1.8129754363108885,3.3135953670614144,2.744978564152717
4.0,-7.691934567200318,1.9624825148784852,2.829041465767301,1.6006951230061597
5.0,-6.351794288796632,1.8018386188131617,2.6545425666876423,1.1744327063927695
6.0,-7.649563650106075,1.709500184458181,2.5034453718045,0.8953198185156247
7.0,-9.893367234923103,1.6345578028185113,2.6807217667581913,0.8982836488463947
8.0,-10.675198621974323,1.6983575081647238,2.468457051242558,0.6770311348699005
9.0,-10.94225636624252,1.6182494501778755,2.249247962246365,0.5059116395669424
10.0,-7.848709685044612,1.5125725633569829,2.6393919899097367,0.6333081887636073
11.0,-9.60162957385151,1.6653393328369717,2.6554715526241828,0.5876274305663574
12.0,-7.8769344288523655,1.6922545979559027,2.655566522696225,0.5424641197280706
13.0,-6.442436952606235,1.6958216621900066,2.6001084191324533,0.48289741366024747
14.0,-6.418224206743573,1.6734871774417646,2.4376331651740983,0.3961370298637795
15.0,-9.368020433894543,1.602032702565294,2.700461179254277,0.4557806612912125
16.0,-9.88623261549122,1.7018310265040055,2.564327164581111,0.3868102239416824
17.0,-8.990720680169591,1.6593408383714163,2.4649366344666994,0.3375507006631121
18.0,-7.085116980442275,1.6120904847903388,2.488559703808896,0.3259436526011274
19.0,-5.948293150437371,1.6163959955664093,2.4211800085511164,0.29310563169037923
20.0,-6.210961187255641,1.5882067475337156,2.3136338423533385,0.2549000741182226
21.0,-6.96452832293302,1.5380578946378798,2.2317689914393113,0.2263996741431837
22.0,-3.841460793617665,1.4960348412214488,2.4369309734304188,0.25820141605497954
23.0,-4.4888256349648366,1.580352024676042,2.3534644772669138,0.23078312690655114
24.0,-3.57647180459697,1.5546554744320136,2.287848687302629,0.2093700646396945
25.0,-4.1119243442458915,1.5228872795677408,2.211126815763068,0.18804160751486626
26.0,-6.893130580136225,1.4850989628103264,2.3332359753443117,0.20162926357929337
27.0,-4.942625173479558,1.534802022477467,2.3565298368528804,0.19832974542778084
28.0,-6.521929556658177,1.5507011544829838,2.3436341544598265,0.1894007258603664
29.0,-4.318719064970393,1.5469480630789776,2.3902062320870616,0.19043619439692758
30.0,-1.5756509712577036,1.5666573258894827,2.504094158385805,0.20227379206651336
31.0,2.435432097667594,1.617273631882093,2.842144279862496,0.25243075336109705
32.0,-0.5700928998543717,1.7592469005861693,3.0227571502257824,0.27688062997700286
33.0,-0.4123418258826502,1.8486301863252999,2.9371310655836447,0.25372761460048576
34.0,-0.7269842459650804,1.8291162398912466,2.858219057955049,0.2334118909502128
35.0,0.06880636996185874,1.795508005720055,2.797096089681629,0.21732629263645165
36.0,0.712363244613676,1.7666529852333723,2.733553422817312,0.20195444095665518
37.0,2.1101288684190846,1.7372722661580102,2.708666407917885,0.19307562393112573
38.0,2.886929360669315,1.7233139855393396,2.6545071748300244,0.18067713695446352
39.0,1.02705512333758,1.6994273229254406,2.6638261647724835,0.17739924590316192
40.0,0.2312022702271136,1.700125832034789,2.6137954771360614,0.166632360885291
41.0,-1.1992637135272308,1.6796964476960745,2.5941898380233166,0.16023383132627242
42.0,-1.0982080714277156,1.6689869064190788,2.5354309648769404,0.149497911108298
43.0,-0.621878189160594,1.6431437193981613,2.4833128775017963,0.14015551926286937
44.0,-1.2454336949558638,1.617967980817958,2.4362664370738445,0.13189764783138855
45.0,-2.385090090710972,1.59487192126949,2.4067011155361984,0.12591761433746046
46.0,-3.567582724118819,1.5794284113774557,2.3798117046586125,0.12050007977936449
47.0,-4.124020296859758,1.5660010507368132,2.336234327261585,0.11370814233073731
48.0,-5.364739997412114,1.5454773430426303,2.313322497722506,0.10921348935651212
49.0,-6.0955521434431095,1.5330896431839038,2.276005280917038,0.1036040007752449
50.0,-6.955816000002946,1.5152286877714773,2.2429692678842157,0.098645316405354
51.0,-10.032200088488832,1.498553201695615,2.3334190982168788,0.10470855169083214
52.0,-10.387696788613212,1.5364538224658324,2.29205124961404,0.09912262133692984
53.0,-12.258201134104523,1.5227029258736673,2.298758243438175,0.0978572122550919
54.0,-11.93104505458126,1.524101710091955,2.2591741878774108,0.09279760020311924
55.0,-13.398823130770909,1.5067548424252455,2.247838509142285,0.09022817791398233
56.0,-14.430342159935778,1.499787856765052,2.222796634783051,0.08668113823864657
57.0,-14.230295966887805,1.4878375002694342,2.1856226805626817,0.08236114658258624
58.0,-13.65272202032681,1.4698101376916515,2.153222026962314,0.07858245927789319
59.0,-12.755310725575889,1.4531853999111553,2.127346990044286,0.07542675360084136
60.0,-12.29895735541623,1.4396206864767522,2.0954061443273866,0.07197912966696664
61.0,-10.378721459870665,1.4235302632692695,2.102808079280016,0.07131938416589209
62.0,-8.567252145458513,1.425276271059652,2.1059111667110155,0.07039463241393891
63.0,-7.535198158859879,1.426882753526792,2.0850216738839022,0.06792680282133798
64.0,-8.473216511575473,1.4174265902910927,2.0626668056754127,0.06545529771131095
65.0,-9.015875784225617,1.406103066349764,2.0348913218838938,0.06273913169512697
66.0,-8.623665437218309,1.3920119088164458,2.0064937131608875,0.060089806282898
67.0,-11.212457376577582,1.3772816347771846,2.0420590354815515,0.06132360447635064
68.0,-9.47005202877149,1.3924588166130039,2.042558986793858,0.060464452384526836
69.0,-8.035188975247337,1.394223995036172,2.033545299583328,0.0590758069351064
70.0,-7.9621631698218716,1.390195126931831,2.0053517532084197,0.05663993879008567
71.0,-9.36397116722976,1.3765649223928045,1.9957936237172627,0.05532211372875671
72.0,-7.98539875447956,1.3707201662763004,1.9858754870103859,0.05402330753299641
73.0,-7.536791393876515,1.365464552445177,1.9611702834993026,0.051975525417307225
74.0,-7.9686482105701675,1.353234314280913,1.9369631035157373,0.05002434752508422
75.0,-8.208559371716804,1.3405070918544184,1.912288325200554,0.04811640314076763
76.0,-6.1832530298028425,1.3274544397476549,1.9211477473867524,0.04793258009466485
77.0,-4.87820591709742,1.3304862591440854,1.9106492903626893,0.04680231680465959
78.0,-6.031581827841976,1.3257267739703082,1.8973397779261478,0.045568332062036004
79.0,-8.3866122792116,1.3188632016465982,1.9171213686510826,0.045941929276732504
80.0,-9.22081075053906,1.327743011359356,1.899181110431884,0.04452949247186771
81.0,-11.293242467915801,1.3199402493462469,1.9089731915068935,0.04444120299868311
82.0,-8.771039102125286,1.323930763080903,1.9345017914166622,0.04508791784330453
83.0,-4.979404637268389,1.3365410163492841,2.02126743916069,0.04863716738822872
84.0,-5.148052733595663,1.378668328287743,1.9979903295585466,0.04696429831775847
85.0,-5.208869969940193,1.371962566241237,1.975053174649668,0.04535854700806666
86.0,-5.557790816843823,1.3604596078553644,1.9535167214814726,0.043864684840318635
87.0,-4.479310937812092,1.3491071731947208,1.9400450216419378,0.04277016688633712
88.0,-4.280666834989066,1.3415900042728726,1.9187717874212793,0.04136724912588596
89.0,-6.423293463890261,1.3306771541225335,1.9298360697023618,0.04138074728804732
90.0,-5.323937447251099,1.3349539693417627,1.9173222649832828,0.04039697437143545
91.0,-7.604374204000133,1.3293564538089986,1.9323770710302732,0.040587838528734106
92.0,-4.188222218165005,1.3360436228196382,1.9919666859354404,0.04266592771910346
93.0,-3.685153678154718,1.3649242058707642,1.9727846617057172,0.04140297150490788
94.0,-5.645679749808034,1.358701654300301,1.9785092068397894,0.0412052492794717
95.0,-4.589865872549562,1.3608086493984077,1.9656966695821276,0.040249618716731966
96.0,-2.8122857541863198,1.3549387231351762,1.9667237833363422,0.039876313813822846
97.0,-1.0752749318765364,1.3548590347862381,1.9668371941225824,0.03947396477738768
98.0,-0.29148409655931173,1.3549051416943496,1.9511964950972285,0.03845624002504756
99.0,1.4772890186494196,1.3474688703682491,1.9519745432124675,0.03810204617349521
100.0,2.1431807443920454,1.3471267229851671,1.9356657399310668,0.037097048086563215
