time,sampled_mean
162.0,-17.377606629394425
163.0,-18.683792649313467
164.0,-21.362814637348578
165.0,-22.129595461649487
166.0,-22.022340305549715
167.0,-22.393862961213344
168.0,-21.616619136237652
169.0,-21.72126007385701
170.0,-18.767229934185405
171.0,-21.219493628852867
172.0,-20.95384997818944
173.0,-22.696194394286838
174.0,-19.878366839395664
175.0,-20.3913048547377
176.0,-18.903534040809635
177.0,-17.637957343291262
178.0,-19.091091987819098
179.0,-19.125050940371338
180.0,-20.018024096361156
181.0,-20.238370056545424
182.0,-16.953562344202616
183.0,-17.365681689862065
184.0,-19.062127436859285
185.0,-18.309071406212755
186.0,-15.701102444401839
187.0,-15.279139906797726
188.0,-12.722063988716517
189.0,-11.046260607186259
190.0,-9.99632217973341
191.0,-8.073628131537372
192.0,-8.98259778073408
193.0,-8.731731763613428
194.0,-9.434291506129727
195.0,-11.43846495694193
196.0,-12.015328231077874
197.0,-11.59796169784203
198.0,-11.168675896799463
199.0,-11.073272334075067
200.0,-12.252688389267366
201.0,-11.29393683008195
202.0,-9.777850920187122
203.0,-11.12373714969416
204.0,-11.110485981721103
205.0,-10.091313973964825
206.0,-15.65991586676321
207.0,-16.5114196055129
208.0,-16.028597012318286
209.0,-17.35857214427394
210.0,-20.643291716666504
211.0,-22.81158369229623
212.0,-22.905721336898146
213.0,-21.76450693759169
214.0,-20.26261378192932
215.0,-18.47737891964051
216.0,-20.423200156720206
217.0,-23.99545236498576
218.0,-24.15574708912633
219.0,-26.62399588896264
220.0,-26.76100132886215
221.0,-27.78725085173473
222.0,-24.605916718595832
223.0,-24.345608990861603
224.0,-21.04936363727144
225.0,-21.934857615884535
226.0,-24.58603186249729
227.0,-23.231160128386957
228.0,-23.825698480395637
229.0,-22.45039751975855
230.0,-23.334006755125618
231.0,-24.037690832227508
232.0,-23.479192289527436
233.0,-23.628419672873843
234.0,-23.68399278758776
235.0,-21.001925941551654
236.0,-22.474113192411856
237.0,-23.67672717858194
238.0,-26.38240128679444
239.0,-23.592712115651583
240.0,-23.963266267043505
241.0,-21.764067179265115
242.0,-21.338770718672844
243.0,-23.648540686908127
244.0,-21.19164227697655
245.0,-21.52471492269979
246.0,-20.38697565002804
247.0,-18.08669619117096
248.0,-16.648179435598514
249.0,-15.43637725692642
250.0,-13.23115196706249
251.0,-13.047408503150477
252.0,-14.091719676125775
253.0,-14.600864609416435
254.0,-13.756414921494043
255.0,-12.12595696040929
256.0,-10.286448390302015
257.0,-9.97667143058914
258.0,-13.003925035742322
259.0,-14.457230522759733
260.0,-16.077282440781456
