time,sampled_mean
0.0,-1.2306891741428907
1.0,-3.5220617544572286
2.0,-5.757245036253996
3.0,-5.553040856752804
4.0,-4.98072691082605
5.0,-4.677412839823854
6.0,-6.535145323694181
7.0,-4.415500801872339
8.0,-4.217560734982621
9.0,-3.5805728120384486
10.0,-1.025689836120138
11.0,-1.2281756833882964
12.0,-3.267534730891704
13.0,-5.231676089965093
14.0,-5.7064615765566655
15.0,-3.6619916537719246
16.0,-1.3822558202888628
17.0,-1.8953395774228163
18.0,-0.38653140905973254
19.0,-2.6607576106044215
20.0,-3.5357458786228233
21.0,-5.929822433478625
22.0,-5.016010973675854
23.0,-4.077571380995886
24.0,-6.847241190374274
25.0,-7.389436518829106
26.0,-8.94169006135239
27.0,-10.189442824106836
28.0,-9.615287584715771
29.0,-9.391246403474922
30.0,-7.617008769168873
31.0,-8.304769611056328
32.0,-9.20070640722405
33.0,-5.862046821539718
34.0,-6.347867017438987
35.0,-4.069245616906274
36.0,-4.014348721215349
37.0,-3.3595869725517984
38.0,-1.632117245137191
39.0,-0.658871950077391
40.0,-2.3390433422846777
41.0,-3.7943010305830573
42.0,-3.8768895356352
43.0,-6.699075928199183
44.0,-4.437778297660202
45.0,-2.365227077008968
46.0,-5.892916218516742
47.0,-7.030297300442742
48.0,-5.599004900177268
49.0,-4.321523353330115
50.0,-6.755875565323821
51.0,-1.4786193212143313
52.0,0.4070898371696749
53.0,0.7803719002357641
54.0,-1.9828544995910329
55.0,0.843626380644991
56.0,1.9706194239656576
57.0,3.4349037859736677
58.0,1.7686964512502608
59.0,-0.7151178337004473
60.0,-1.193388353588359
61.0,0.5784610583618812
62.0,2.0739085052491215
63.0,2.4284952702820726
64.0,0.3261617270710921
65.0,1.8271654831619355
66.0,2.9637093654318964
67.0,0.5288244962272826
68.0,-0.9083364002258285
69.0,1.8369476876354667
70.0,-0.8444814461143133
71.0,-0.5545185723171933
72.0,1.495640940749145
73.0,4.018994786486358
74.0,3.75265515969896
75.0,1.624072849482618
76.0,-1.9764296699083879
77.0,-0.770245150019642
