time,state_mean,state_variance,one_step_forecast
0.0,0.0,1.0,0.0
1.0,-0.009912556757023919,1.2847232970851823,0.0
2.0,-1.0459828996269898,1.3487947598061412,-0.008921301081321527
3.0,1.9151967846848703,1.363498453661223,-0.9413846096642908
4.0,2.8215286844456613,1.366872994276518,1.7236771062163834
5.0,3.446174436461841,1.367647320228141,2.5393758160010953
6.0,2.808076294471377,1.3678249887499583,3.1015569928156568
7.0,2.727799842267949,1.3678657541565125,2.527268665024239
8.0,1.0442274173570882,1.3678751076063003,2.455019858041154
9.0,1.1375204403685006,1.3678772537143007,0.9398046756213795
10.0,0.6878447625256501,1.367877746129287,1.0237683963316506
11.0,-0.22752860086410787,1.3678778591117233,0.6190602862730851
12.0,-0.1494140958422724,1.3678778850350424,-0.20477574077769709
13.0,-0.8093877465149271,1.3678778909830331,-0.13447268625804515
14.0,1.7434459432916212,1.367877892347773,-0.7284489718634344
15.0,0.881094224446997,1.367877892660907,1.569101348962459
16.0,1.6646306457767266,1.367877892732754,0.7929848020022974
17.0,2.6194925347189493,1.367877892749239,1.498167581199054
18.0,1.572274002674623,1.367877892753021,2.3575432812470543
19.0,2.742392741266994,1.367877892753889,1.4150466024071606
20.0,2.611780520796873,1.3678778927540882,2.468153467140295
21.0,5.822817093460133,1.367877892754134,2.350602468717186
22.0,3.747504801700332,1.3678778927541446,5.24053538411412
23.0,2.576087838930808,1.3678778927541468,3.372754321530299
24.0,1.7051833058325383,1.3678778927541473,2.318479055037727
25.0,2.490478383989912,1.3678778927541473,1.5346649752492845
26.0,0.837207223227441,1.3678778927541473,2.2414305455909207
27.0,-0.4606498317756551,1.3678778927541473,0.7534865009046969
28.0,-0.2086624131582867,1.3678778927541473,-0.4145848485980896
29.0,-0.9465455148075965,1.3678778927541473,-0.18779617184245803
30.0,-1.027583724462229,1.3678778927541473,-0.8518909633268369
31.0,-3.8656776765690166,1.3678778927541473,-0.9248253520160061
32.0,-2.400727913364883,1.3678778927541473,-3.479109908912115
33.0,-4.2749773974758885,1.3678778927541473,-2.1606551220283947
34.0,-3.175297236309073,1.3678778927541473,-3.8474796577282997
35.0,-2.9254648305034823,1.3678778927541473,-2.8577675126781656
36.0,-4.2363619605869145,1.3678778927541473,-2.632918347453134
37.0,-3.8596150190996017,1.3678778927541473,-3.8127257645282233
38.0,-4.564518789490572,1.3678778927541473,-3.4736535171896414
39.0,-5.290562410938238,1.3678778927541473,-4.108066910541515
40.0,-2.881323334813384,1.3678778927541473,-4.761506169844414
41.0,-1.772247933021822,1.3678778927541473,-2.593191001332046
42.0,-3.7666948217977247,1.3678778927541473,-1.5950231397196397
43.0,-3.8071214198146412,1.3678778927541473,-3.3900253396179525
44.0,-4.796252835602076,1.3678778927541473,-3.4264092778331774
45.0,-5.416825175633848,1.3678778927541473,-4.316627552041869
46.0,-5.023895179189896,1.3678778927541473,-4.875142658070463
47.0,-5.543286702234631,1.3678778927541473,-4.521505661270907
48.0,-5.722035388024216,1.3678778927541473,-4.988958032011167
49.0,-5.007162550952208,1.3678778927541473,-5.149831849221795
50.0,-3.4538722041358874,1.3678778927541473,-4.506446295856987
51.0,-1.21975717982442,1.3678778927541473,-3.1084849837222985
52.0,-1.3059767171975172,1.3678778927541473,-1.0977814618419781
53.0,-2.5540779642312943,1.3678778927541473,-1.1753790454777655
54.0,-1.631898278674911,1.3678778927541473,-2.298670167808165
55.0,-1.6714317942910764,1.3678778927541473,-1.46870845080742
56.0,-1.8761565201872994,1.3678778927541473,-1.5042886148619687
57.0,-2.557814285627767,1.3678778927541473,-1.6885408681685694
58.0,-3.79150170374892,1.3678778927541473,-2.30203285706499
59.0,-3.834866242035516,1.3678778927541473,-3.4123515333740277
60.0,-4.386463357694168,1.3678778927541473,-3.4513796178319645
61.0,-4.226960321116695,1.3678778927541473,-3.947817021924751
62.0,-2.2656658090686106,1.3678778927541473,-3.8042642890050256
63.0,-4.199682056903571,1.3678778927541473,-2.0390992281617497
64.0,-7.362381390184021,1.3678778927541473,-3.779713851213214
65.0,-8.729793084160027,1.3678778927541473,-6.626143251165619
