phi,mu,sigma
0.7848916062760806,0.0,0.2027667211023401
0.7746198120670874,0.0,0.20918233043413226
0.8262594927937461,0.0,0.22515554918217776
0.8289062129558936,0.0,0.24605974343457152
0.8289062129558936,0.0,0.23844911797293086
0.8289062129558936,0.0,0.25127069189968876
0.8289062129558936,0.0,0.27268517829447453
0.8289062129558936,0.0,0.27259354350052545
0.8289062129558936,0.0,0.24196919215812462
0.780729770744945,0.0,0.24024239250773147
0.780729770744945,0.0,0.25533578730570433
0.780729770744945,0.0,0.2623844695476047
0.8083805464904257,0.0,0.25542097558413385
0.8098535138275212,0.0,0.2331974620908828
0.8082881261400606,0.0,0.24776211845849885
0.800756356442588,0.0,0.25936957326038573
0.7827940431629923,0.0,0.27389215636632275
0.78831348187572,0.0,0.2724113575175554
0.7520155430482584,0.0,0.2842153377956579
0.7520155430482584,0.0,0.2792384803655155
0.781205955620117,0.0,0.2800668479691732
0.7469778727637432,0.0,0.27296781057539915
0.746857119181518,0.0,0.27410444120423405
0.746857119181518,0.0,0.2707528540079059
0.7363013511289058,0.0,0.2776585582045185
0.7363013511289058,0.0,0.26248964547928144
0.7363013511289058,0.0,0.2705248912037593
0.749742108021121,0.0,0.27459178801311723
0.7789380726913918,0.0,0.28512728861833564
0.7789380726913918,0.0,0.2840919673020983
0.7695369155384626,0.0,0.2700915498484208
0.7714158917058241,0.0,0.29391423178225234
0.7666834131642676,0.0,0.28896871219995107
0.7427968545621793,0.0,0.3053094907699921
0.7396889589635643,0.0,0.30793303814068634
0.7396889589635643,0.0,0.31233269304479544
0.7396889589635643,0.0,0.291530246578697
0.7438239622555423,0.0,0.29739552007035863
0.7438239622555423,0.0,0.280319800693026
0.7438239622555423,0.0,0.27109203830800027
0.7438239622555423,0.0,0.2840519974764394
0.7438239622555423,0.0,0.29625126571766897
0.73016345267847,0.0,0.29619426828371553
0.73016345267847,0.0,0.29664698781905224
0.7507550970592797,0.0,0.32154404322065433
0.7422393035641253,0.0,0.33097324795913724
0.7817511798186103,0.0,0.3202490210611415
0.7817511798186103,0.0,0.3240808076911216
0.7700628775540895,0.0,0.3111775995405588
0.7908494083227651,0.0,0.309919158020953
0.7908494083227651,0.0,0.30764418401934507
0.7871736553150912,0.0,0.29846615341469834
0.7963781837813969,0.0,0.3140582565665506
0.7897531357486859,0.0,0.28209497093418084
0.7758529498897614,0.0,0.2904291660086583
0.8420293076311495,0.0,0.3064103693339688
0.8806089713856387,0.0,0.28984808157169356
0.8660341079800058,0.0,0.2918002291215635
0.8697492829825519,0.0,0.2720783315318395
0.8865559276617901,0.0,0.27513940826779104
0.914995509377881,0.0,0.2712977212484878
0.914995509377881,0.0,0.28250206166849684
0.92272635701336,0.0,0.2978345733955673
0.922882462475919,0.0,0.31749769236981323
0.9490433839735665,0.0,0.3297462168337881
0.9490433839735665,0.0,0.33530203864500163
0.9490433839735665,0.0,0.3413723018934299
0.9406334109780322,0.0,0.3365803265720004
0.9406334109780322,0.0,0.3475358528205246
0.9425520067247221,0.0,0.33682368724130984
0.9010108000531115,0.0,0.3454995150107772
0.9010108000531115,0.0,0.3784965424594485
0.9010108000531115,0.0,0.38236045042391414
0.9010108000531115,0.0,0.39886205453791623
0.9076256716825021,0.0,0.39857537087463396
0.8933066066364145,0.0,0.35624156657064043
0.8854985363483328,0.0,0.33874806472864644
0.8854985363483328,0.0,0.3241462425852033
0.8854985363483328,0.0,0.3383491288043172
0.889449535211804,0.0,0.31282166934230543
0.889449535211804,0.0,0.30899263288772616
0.8749862617786269,0.0,0.3090357924886625
0.8914421156182515,0.0,0.29702307582604864
0.8914421156182515,0.0,0.3225402435909015
0.8912478049833494,0.0,0.34494665348013925
0.8912478049833494,0.0,0.33839497541022584
0.8795564045963337,0.0,0.30571665072861676
0.8813859293511683,0.0,0.29950179811987393
