V,W1,W2
0.07473950269005121,0.039389732266061434,172.57912456451263,792649.1304276824
0.048222662537706296,0.028989723954652297,260.41539291893645,719435.5985210709
0.054395571512875794,0.024504064921304202,300.75446866812854,701716.6214424316
0.05724983276822168,0.02768261547721336,282.824393864942,706562.9262219565
0.05340947504770566,0.028282625419337997,245.78390026361438,615415.8295259004
0.08323524227706437,0.026908740207696284,203.5150197023674,581083.7088258159
0.08375612468689082,0.032685897708024915,263.28898027365597,733021.2496841624
0.10689658181628503,0.020478044311903854,245.79855102495418,703536.4443892746
0.11907647961886769,0.024323403929843675,250.18942029264807,803099.7548846095
0.1065308368447572,0.029355072461553684,243.42599071607717,735885.6524786503
0.07214404047614739,0.028011435738270148,314.5115265090585,683937.3294953991
0.04744725586570981,0.044507012261245975,196.9235163843586,805736.2226962466
0.06106370144048133,0.033130309482697046,330.23854965946344,562095.8793188835
0.0990805237729217,0.04556521828731252,241.72006466337686,579181.4927944099
0.15349000211423747,0.04721069396848241,189.14116998421542,730458.7783542479
0.14023592817188704,0.033263225803854025,245.9012418251772,724410.536263228
0.12865955521682254,0.024403057605324727,197.23529685360361,503071.899102559
0.10571098967053993,0.025337862253628555,191.0780805836364,887641.3064798339
0.08734387871035779,0.028571323959675973,278.1340110705824,910457.3272366878
0.08233060943545373,0.05208419604231674,298.01232560455406,798970.4884093726
0.0742456595238632,0.05788754930069724,200.25358169640572,595236.6966044477
0.05704169750407669,0.06778728506502746,254.3276881499408,536295.3386889023
0.07689536616385256,0.060927012411482705,303.7192372089301,717997.5450467552
0.1423810703620683,0.0732422580082129,195.91823913346465,991635.3319204878
0.11875269075019473,0.05855314037911105,298.6224640364985,887645.1917051813
0.12990597018120775,0.051612735700419375,273.49865029206086,563747.954591545
0.09824570813202259,0.043156521278916796,291.3407138014509,710407.4540846284
0.0702505814131804,0.044672236845559925,331.3509243086498,664921.5311280345
0.0850199566363967,0.10072164481473748,275.0749720886728,619601.5621232009
0.13369239868485558,0.11524949065521249,183.1924862782283,511539.4528897535
0.21468176840340605,0.09332353772609697,249.12245851197807,828380.3097011502
0.19464647618856062,0.09430090019669057,251.5823779469114,758505.7327490774
0.2156097892345909,0.14908159188770798,272.3121779901997,609569.9398999128
0.21843218331752354,0.27047573711487,294.9341009119672,680290.7680754813
0.20687808244631548,0.37914778287572326,174.90710513271395,806567.647564747
0.1887289378353267,0.34395301450717836,365.00805807569134,817789.4075619882
0.1461940234880099,0.3321746540132006,222.6723344345845,713431.1631349147
0.13318654022267903,0.3391582168211714,236.71278501694405,845265.9212769856
0.07851032920252357,0.31162722765119877,240.44781203044977,733665.2979686065
0.08228979114393847,0.15083964712882605,298.9788311004033,657550.5049563922
0.10151898232125153,0.15992344859618302,270.5471576129967,808239.1201623722
0.08967211166835709,0.14455901791672116,392.6827578963724,711506.175816015
0.09463753782649173,0.23420928817258457,286.0392603499345,829914.8154558043
0.10527179218204974,0.15969751269504193,172.53681892667967,589735.5200846063
0.21290373938439808,0.0951906909410581,183.40096547163438,502691.7565777049
0.2237505397632341,0.08010267082176746,243.7222075974439,788940.4962843382
0.22892621305527694,0.09145733969090715,213.92380213882268,1020934.5368564113
0.16662173329068608,0.09760152954094993,244.13259115255372,771809.6447039959
0.22778065810383588,0.0734504107601055,280.6087741147011,601804.8419120733
0.1962784588609942,0.04595939338315991,245.21824862039668,599062.9941625615
0.13383085812002415,0.06038186307985412,245.4269596277371,588122.0841421041
0.1343698428425907,0.0632726120529324,199.70472267516683,395188.8956423076
0.11413272983644925,0.0785836127003414,175.95888324206805,537200.6492861105
0.11125541123459037,0.09691907152731404,220.47846644265385,475645.75147627736
0.07593192633772754,0.16597768578774402,357.2646472842538,914368.3801625511
0.06545587051329758,0.21038372370992853,383.56439947242,720481.3384131722
0.0454974298189421,0.16640604521581065,263.19148744249054,770370.7789364527
0.04814034412398116,0.1766227113379783,301.89565220184073,1040207.4458308453
0.052406068660072004,0.16629636073239665,265.9138345832596,608116.413247747
0.03096260075490481,0.07603899588098102,368.6127327704267,636449.0183061381
0.04142942610340516,0.08702357138571323,215.77109646144004,1289783.422124276
0.03414197909762237,0.06646923955664115,259.43274462110156,621837.2726250462
0.029005984915006767,0.09347329347321666,278.8253071485475,618690.6642929988
0.021497419273419867,0.10015382843681286,233.13521484643292,1051053.4822750224
0.02390242436162511,0.06992428952746921,240.0768910114952,636621.0560904916
0.03045842876830845,0.0865659768541853,255.58259020234405,575944.991600918
0.03345552855202213,0.09189465641004667,234.4142131694073,614688.6653958051
0.03803891209189475,0.09217414528699444,308.31076227745575,893764.8250658278
0.03636461445774522,0.09425437027019763,254.7419055082589,962579.4800866504
0.028995830527051906,0.06290515304612929,343.51181991329094,607202.2595959915
0.03325484199525212,0.04275525072428145,217.83399816285714,625616.1497933749
0.04072400917030806,0.032560472732749604,406.7364790022255,720753.928218946
0.022419314564878605,0.038787982816672194,391.256717121063,561416.1410761141
0.029956117245006894,0.03716950754473508,218.89715621561365,895374.1095719335
0.033059422643982914,0.03478275829249324,257.44986010666463,577000.2747901262
0.023345024482761746,0.03556766302977234,293.4379570710174,849244.0060295917
0.019501735980354963,0.04700790592826294,267.8387156122728,583856.5967799203
0.021916308406093626,0.03708705651928165,222.13082269456666,752139.9632798695
0.025495097072356723,0.03502150825869127,371.66516598063436,680979.366542709
0.01935902607135526,0.01966395978869175,262.6910245941971,574183.3966433974
0.0201554963841138,0.029963815786944955,288.85162087135143,724079.165924752
0.022976258758273527,0.03865147142880403,257.39509877045737,568870.402501228
0.01746136466477156,0.06506993600062534,263.613970572727,757515.193927521
0.01861575754819436,0.06833671353147777,321.7866572303083,580523.5130651516
0.01655738783165323,0.06364247974521971,237.55336397661773,920984.9181074948
0.025737857101250462,0.07413792271639186,223.02212339282883,653154.6946923503
0.032930769836964226,0.09687764105684843,225.39390693264806,633634.076781966
0.024101226847298332,0.07386604348610053,216.33388579722717,732604.9806115906
0.01983421625478266,0.05709682078153052,190.03339142629915,874523.2001473687
0.013838612482866585,0.06954739461432706,339.8873870747514,679170.8104153594
0.019228100161724517,0.10970012743274042,202.33944129536562,759861.2036598878
0.02038042729325879,0.10267619658653836,266.2333205743368,1086131.81471295
0.0194017181261138,0.09782227704253746,236.9000163221738,678552.9220568013
0.016848737168333308,0.09318398984552498,276.3671135625469,817767.1110456467
0.016027970407973144,0.05686614056170677,261.9009470928027,636381.0239913854
0.016299863623554615,0.06510490523378445,313.8401197649115,649338.8959707798
0.02457253118954239,0.05762191383888643,281.600834251555,1125665.1150366366
0.037415549947622376,0.042967976990273264,202.19733091357162,521918.0879664208
0.033513214263054085,0.029192865696149522,211.77788935801044,741121.4072846846
0.05222280496332524,0.044748440998617314,346.5859345936487,1029278.7962418689
0.0907198075723559,0.02857023006601111,197.11203103539677,675345.6613645706
0.09195093443005019,0.01990180489863342,275.0899874743265,1080046.761115861
0.09642837576004293,0.027414513289292793,236.88826465849405,1124984.4549307344
0.11501961177386451,0.029003156028280328,231.22179711313356,639663.8805560427
