nu,scale,W
2.0,3.687878627976697,0.3125820798997473
2.0,3.552066306515575,0.0940158759350494
2.0,3.8098284725638503,0.09978563216706597
2.0,3.6157931961631404,0.10150899356564246
2.0,3.5158876148503904,0.10290660455555938
2.0,3.5568077453063682,0.09966445426105333
2.0,3.6772019256172674,0.09932796755270494
2.0,3.6732898067691737,0.11419454236331318
2.0,3.5295846579067147,0.09446939300600882
2.0,3.4713759300834695,0.09074355932022171
2.0,3.6068723345872495,0.10305396122857649
2.0,3.429310032797574,0.0994761204507811
2.0,3.7257444666444854,0.09869451483802445
2.0,3.6332417924635316,0.09777870383217781
2.0,3.577540512672993,0.09827401650203448
2.0,3.6326036152989776,0.09582482537820965
2.0,3.330652997033021,0.09688610366046913
2.0,3.4212916549848558,0.09686340539166506
3.0,3.7355720406522233,0.10455243479515937
3.0,4.014202916669551,0.10274827514426296
3.0,3.676368642998024,0.10752689327538623
3.0,3.678667016599958,0.09482272090262596
3.0,3.7150956609402606,0.10906522106897455
3.0,3.576737616625437,0.10939110038915759
3.0,3.6481688137789825,0.0996456586802554
3.0,3.751333716258662,0.1032771297932876
3.0,3.584070100335274,0.10925530564230611
3.0,3.656138086801371,0.10831720581333104
3.0,3.694449245621063,0.11127283959602748
3.0,3.603149808639705,0.10204067730919489
3.0,3.7884476025808316,0.10032397770091168
3.0,3.657081635788217,0.10277751382209278
3.0,3.766207336188512,0.09899602307269896
3.0,3.7267543032659582,0.0984438672482905
3.0,3.6207945063336577,0.10301775512590086
3.0,3.6084486680654813,0.10166173274994848
3.0,3.990430587754041,0.10138269365223082
3.0,3.8868769375670955,0.10325624935427083
3.0,3.6937892999150317,0.10521406755281862
3.0,3.7335923257186066,0.10235422313443729
3.0,3.806514655425556,0.09873812575865105
3.0,3.659070896461206,0.10015887058328027
3.0,3.890637307710102,0.10373442479605463
3.0,3.9595510304103114,0.10630612958339002
3.0,3.485420164764541,0.10039409006700953
3.0,3.835438566033859,0.10314390568120262
3.0,3.967400098472589,0.09994776432272981
3.0,3.6134242601087796,0.1052217099948276
3.0,3.96471833595599,0.1052296295754738
3.0,3.6503382062770653,0.11140477190466747
3.0,3.697736043034627,0.08597341532170052
3.0,3.5752092094982353,0.09580025232377382
3.0,3.8132979217517606,0.09661318358337101
3.0,3.837311553112587,0.1019727895293254
3.0,3.7290102227633772,0.1088484228004284
3.0,3.638457958479825,0.10560382111320132
3.0,3.8910510246049532,0.10198909985146083
3.0,3.9601539573021123,0.10589592178786028
3.0,3.6782410024971686,0.10086851430339142
3.0,3.5014351952033724,0.1052006732097364
3.0,3.795944985650215,0.09412603601212088
3.0,3.5199983652369258,0.10805065003642382
3.0,3.8177432875009063,0.10143109202379132
3.0,3.6423859705944825,0.10240544813024527
3.0,3.7358839775757633,0.11281911990358931
3.0,3.750300160692442,0.11852383637516258
3.0,3.760541565069674,0.0971201892446735
3.0,3.77155058624776,0.10124742674287783
3.0,3.715143827744342,0.10563071387494657
3.0,3.5719053909226957,0.09895145355863004
3.0,3.7016620524200454,0.10103676544875546
3.0,3.826102099242517,0.09671017002845153
3.0,3.8026355609086937,0.09659243825998953
3.0,3.983954834642875,0.1061264072396842
3.0,3.7573875335924085,0.09556232220322813
3.0,3.8579298236940422,0.09427285133080168
3.0,3.6332272185306684,0.1006492766779925
3.0,3.6382186098293596,0.09697704200356712
3.0,3.9744337234253635,0.09592290979515841
3.0,3.825139834654357,0.10089050699295099
3.0,3.849700865901365,0.11778379406352349
3.0,3.3773216235352135,0.10761774300122759
3.0,3.6859480459718,0.10916620013783708
3.0,4.06231615232761,0.11542335316477635
3.0,3.9899926066988995,0.10320171234822965
3.0,3.8126006798412533,0.09611559453822195
3.0,3.918667576340537,0.10097965206303511
3.0,3.6656701850854305,0.1026903401486217
3.0,3.823395399911811,0.10402211299785802
3.0,3.578281172258181,0.09270193991412974
3.0,3.7373999483794798,0.1033993446155517
3.0,3.6705815459952134,0.09508098706741619
3.0,3.7294852652123835,0.08847058307641517
3.0,3.704037003988181,0.09891688651735119
3.0,3.7753362436465823,0.10599727438553422
3.0,3.884263478873138,0.10756464094138049
3.0,3.809289875983695,0.10963481543326743
3.0,3.615962137013327,0.09874624608805771
3.0,3.805405457555046,0.09802567362683234
3.0,3.6438031893075618,0.11026989158069185
3.0,3.5501295798002515,0.11553805825869855
3.0,3.7125489996148775,0.09825200254785617
3.0,3.6490663227830424,0.10574983978715857
3.0,3.7059760287320276,0.11719902121013076
3.0,3.8104630765244925,0.10254675183426908
3.0,3.7082415828626725,0.10554971467183431
3.0,3.7510679413241506,0.115676548724856
3.0,3.833473866396821,0.09728332617371649
3.0,3.784111394340739,0.10834980303451187
3.0,3.6950898255311166,0.09409921694878808
3.0,3.9029932710972286,0.11095582049612131
3.0,3.8400260486206528,0.100705108880052
3.0,3.759293680920434,0.0947332280585311
3.0,3.502526062303805,0.09681675561953638
3.0,3.531275748671723,0.11147331644610012
3.0,3.921388041984184,0.11081473667240209
3.0,3.705907112951846,0.09844052655316975
3.0,3.8309612765188588,0.11429288192858306
3.0,3.900065280986969,0.11991930408613362
3.0,3.743157620569339,0.09758106456702546
3.0,3.8690367308595017,0.09981626940919458
3.0,3.692005344196496,0.10755043996128218
3.0,3.695155104280944,0.09142286726554391
3.0,3.8162746614814904,0.10244167810093448
3.0,3.9329441847146525,0.09717628225789388
3.0,3.7621952645593244,0.10607516234832204
3.0,3.7391852074357974,0.10911362905549803
3.0,3.8854327635241597,0.08698174315424205
3.0,3.7323235108683055,0.10909322276951564
3.0,3.808402633880257,0.10749943235645953
3.0,3.9413905301322205,0.09318303410847797
3.0,3.6945971015517283,0.09175602627584062
3.0,3.7052059820684455,0.10821241273600425
3.0,3.606572177976893,0.09829764657960377
3.0,3.8253315256746685,0.09071024203455634
3.0,3.507995289117768,0.09805357501039115
3.0,3.6819809768398875,0.10091094160418822
3.0,3.8775773653093126,0.10771566133609346
3.0,3.710839293246994,0.0954390408947506
3.0,3.808016490280008,0.1029620568874585
3.0,3.7933941764632655,0.11197882802253091
3.0,3.740002339373366,0.10258620118985161
3.0,3.6210492086554416,0.10447595354365374
3.0,3.619561386390872,0.10427593149557768
3.0,3.642842262637018,0.1024301741323434
3.0,3.826891834210885,0.10294792930226516
3.0,3.666396158008809,0.11865310547640491
3.0,3.567959071139114,0.10322225141827937
3.0,3.761726667810483,0.09818346670507741
3.0,3.8801171589155765,0.09349250097186172
3.0,3.7052362109145944,0.10424597122945455
3.0,3.907589895798382,0.10561958359129622
3.0,3.9052082407815085,0.1090140040958357
3.0,3.501959968843077,0.1038335623290871
3.0,3.7807468897834626,0.09910935630936682
3.0,3.833326362709169,0.09741315261574439
3.0,3.707633452403371,0.10676540211399113
3.0,3.4415503238489706,0.10908494259105718
3.0,3.718900547570498,0.09080967130989841
3.0,3.699350865327258,0.0998869548983317
3.0,3.6791160895073634,0.11812645907829031
3.0,3.7601657846613805,0.10067989544130963
3.0,3.699678329467826,0.1027404125420529
3.0,3.67527131640794,0.10522708445629601
3.0,3.5970617040509274,0.09533657672116752
3.0,3.702515247059039,0.09627825167634353
3.0,3.68916416046258,0.1000661265412555
3.0,3.516043460767829,0.10861617785951894
3.0,3.81415587390512,0.10161303164378134
3.0,3.7305403121324097,0.09776898177456332
3.0,3.4218593717658234,0.0984112589146005
3.0,3.851855504820176,0.10931007790847369
3.0,3.7819505482213818,0.11189034196345989
3.0,3.849534037578283,0.09304014360229515
3.0,3.7937597020696487,0.09752601382042282
3.0,3.558698733984743,0.11557040002675686
3.0,3.834693402788766,0.10040802213920438
3.0,3.867672503561581,0.10246983089580716
3.0,3.938670126798912,0.10624551316413151
3.0,3.809278988333077,0.09625653259858673
3.0,3.7895185366236563,0.09622208176167621
3.0,3.678147664183993,0.09539227423464924
3.0,3.5231113923444455,0.10141900551891996
3.0,3.759808397997385,0.09544365505166615
3.0,3.923234789993588,0.10394929373806847
3.0,3.550744982681348,0.09588834943458366
3.0,3.812577765959613,0.09754782332069628
3.0,3.833540533691111,0.1099662026634267
3.0,3.753364259290663,0.10278433276740427
3.0,3.692829954165866,0.11564731596118245
3.0,3.7747628828768214,0.11150655985769621
3.0,3.5817022623366013,0.0922387166525248
3.0,3.8264067843750786,0.1025940364974933
3.0,3.633504080278046,0.1148122746101466
3.0,3.8009667769186644,0.0990638262989401
3.0,3.709872441441472,0.10046039527722193
3.0,3.7733489835667995,0.1085930940929324
3.0,3.540739888641188,0.11013740546839207
3.0,3.7164251773529404,0.11397733688389249
3.0,3.740679033919374,0.11020024492737765
3.0,4.033095851119187,0.11684631173637712
3.0,3.727368098570205,0.10187546117321185
3.0,3.660782343351136,0.10497939169930637
3.0,3.864614192861893,0.09765437894172797
3.0,3.520722502211166,0.10358229549377679
3.0,3.79156955351924,0.10281436252037608
3.0,3.70121384977884,0.10440135827309177
3.0,3.5637697421410546,0.10083351193520503
3.0,3.725777231975905,0.10859888323110815
3.0,3.631199188612546,0.10380263098532158
3.0,3.8038407694066794,0.10252904135930437
3.0,3.7400746033573897,0.10056438957024169
3.0,3.8924850949193557,0.09918468162680077
3.0,3.6074920407496305,0.10671637045210663
3.0,3.9214961883690274,0.09647398599394949
3.0,3.5962719813024826,0.10643302948234998
3.0,3.6728154202381096,0.08646578012017442
3.0,3.560637037689054,0.09277799424140454
3.0,3.894136850187261,0.10573579182475043
