time,observation,state,log-variance
1.0,-0.04759807709544922,-0.26808542925312695,-0.04520673706524546
2.0,1.7991406601496682,1.0747770421753853,-0.13976972715163213
3.0,-2.9425213624511777,-0.11921636036068484,-0.7281399830976666
4.0,0.2062990920795072,0.37119874845060297,-0.5653481437096392
5.0,2.7357122933596605,2.9063222251029113,-0.1923433536936467
6.0,4.792539661409977,5.05233117326572,0.5186667738359276
7.0,3.9819043912500423,4.9208918140836,-0.43883552246630486
8.0,3.730362521469715,4.221304791149747,-0.7373474922583764
9.0,4.564853077770165,5.785479656186531,-0.39278757460376446
10.0,7.859898232712241,6.887166405062748,-0.5634931411235162
11.0,5.796695791795946,6.25201602241203,0.01846182472960345
12.0,7.7749446254256345,6.54273666237123,-0.2945963824138646
13.0,6.526939052517619,7.132435072661881,-0.2961586537280317
14.0,7.4193042197941415,7.301352647695343,-0.3976847767636612
15.0,4.0367196046103535,4.468696657791531,-0.44571810799779854
16.0,4.273534946708285,4.817337055954891,-0.47773879471528036
17.0,4.281400413901581,4.026992299197405,-0.7247021116911028
18.0,3.198152198832638,3.560283706666405,-0.5748643816832861
19.0,3.811345760614743,3.5377927337605115,-1.1347898482917098
20.0,1.8916014322472021,1.5065687001839105,-1.9978937231682434
21.0,1.716088611541835,1.8327806714606831,-1.2907003270690534
22.0,4.680441392182313,3.6637183204309394,-0.7373794956669095
23.0,2.527163380233916,1.9456438851870572,-0.8567980950709879
24.0,0.3565078497782095,0.8925896693491244,-0.5903768309345762
25.0,2.1509860255153814,0.8414832916679773,-0.6101126326609235
26.0,-2.632354799443562,-1.7603840088329996,-0.17730617324939496
27.0,1.180557185691375,1.5897051228357382,-0.3921318607696414
28.0,3.2209568301796447,2.2930562099503966,-0.7014325859867003
29.0,-1.3356129359039635,-1.0429915404810202,-0.7774887657683952
30.0,-4.7920804383196876,-3.9772615099523834,-0.9829588719894158
31.0,-5.315385394525463,-5.471439054584791,-0.3497867502730342
32.0,-5.117883284303165,-4.664233893834617,-0.26624048473463463
33.0,-5.873639640778372,-5.074628212591795,-0.4403739652340938
34.0,-3.152259227786409,-3.9106882583091243,-0.6568878401327336
35.0,-3.50816681460283,-3.263621237516091,-1.0629768492124008
36.0,-6.436488658404982,-6.73236268312022,-1.0127378062928045
