V,W,phi,sigma
2.0,NaN,0.8,7.196398095558207
2.0,2.372870798144134,0.8,6.939765051045643
2.0,2.137408229361129,0.7670652041822121,6.612816534728496
2.0,2.24902773943701,0.7670652041822121,6.786137377939793
2.0,2.3741627355301556,0.7402177918392149,7.209254656148542
2.0,2.6027390627555818,0.7402177918392149,6.525142551501499
2.0,2.7479974339985986,0.7333199844618954,6.4988338039613
2.0,2.7898647096056046,0.7043725112757602,7.4187834556321635
2.0,2.5270009434370277,0.7043725112757602,6.814675431926147
2.0,2.440330812197384,0.6901180041866134,7.111388346528523
2.0,2.2888121408532123,0.667005869403148,6.746252428776373
2.0,2.978792484808177,0.6346915864528399,6.824791268089551
2.0,2.4758455398589643,0.6346915864528399,7.024474371175966
2.0,2.1954381562761065,0.6238977553926784,5.7405904443877835
2.0,2.831109163271481,0.6238977553926784,6.421480158539571
2.0,2.5048774232067412,0.5768625744215748,7.042179679928044
2.0,2.8098805484571723,0.5768625744215748,7.856128914644633
2.0,2.7429712943588713,0.5768625744215748,8.412984536012399
2.0,2.394001445640022,0.44952005796057565,7.199160227360846
2.0,2.317497258367725,0.44952005796057565,7.207962063378988
2.0,2.5504892082781585,0.44952005796057565,6.859261215343938
2.0,2.57078628469097,0.44952005796057565,6.655663803682526
2.0,2.09091703624714,0.44952005796057565,7.42359913447419
2.0,2.4611954387801687,0.4057349592889142,7.23800427645378
2.0,2.2230212020683107,0.3615376491635874,7.302411597308908
2.0,3.094120366944771,0.3615376491635874,8.31735325836909
2.0,2.5921685902061604,0.3085322095617397,7.615140610281501
2.0,2.773955626407039,0.2826899369992619,6.619769000887287
2.0,2.7808882410911933,0.2826899369992619,6.841399997918497
2.0,2.3650123689928444,0.28045621466782195,6.612658180939942
2.0,3.0563899200360902,0.24864370875371508,7.679989301484451
2.0,2.869107310711618,0.24864370875371508,6.858683480936529
2.0,3.0445859806642668,0.23418263606144527,6.458025209257887
2.0,2.3722076124964353,0.22991044071340994,7.084325464450176
2.0,2.330256374852281,0.22991044071340994,6.636480196320434
2.0,2.5652128683316686,0.22991044071340994,6.496169368933536
2.0,2.7382515728919548,0.1895381484268083,6.564789455025461
2.0,2.9517027851609403,0.1584324491120213,7.148594639520862
2.0,2.4153247211646036,0.1584324491120213,7.342080835913215
2.0,2.522356607275292,0.14519510841634234,7.23504274931433
2.0,2.8312280160715866,0.14519510841634234,7.109824210104684
2.0,2.9352040562543227,0.14519510841634234,7.118530134596092
2.0,2.814757641546254,0.14519510841634234,7.131287576555323
2.0,2.3483042245008092,0.14519510841634234,6.938192903502656
2.0,3.0087103021623403,0.14519510841634234,7.468953992932995
2.0,2.7022041526133296,0.14519510841634234,7.413708910685336
2.0,2.7177436140225035,0.12380432052355482,7.232101776284326
2.0,2.0753433891288995,0.12380432052355482,6.366936323398135
2.0,2.5354541019911148,0.09125751034113336,6.868273185179725
2.0,2.8683625278138503,0.09125751034113336,7.267994433840451
2.0,2.237686282436078,0.09125751034113336,7.077112714880455
2.0,2.3417458412106567,0.06748678446656399,6.778993497036999
2.0,1.9339921550656773,0.06748678446656399,6.662344543921084
2.0,3.0614373739053407,0.030092449573843348,6.160460450593052
2.0,3.172746256109794,0.030092449573843348,6.178224809207409
2.0,2.461396725779304,0.021615951103714268,7.189379548457128
2.0,2.859398850530842,0.006393219457408452,7.832841686666906
2.0,2.3827019985525433,0.006393219457408452,5.9304077104351345
2.0,2.5845706354663567,0.006393219457408452,6.637143968966787
2.0,2.8448241671668617,0.006393219457408452,6.7684791475526564
2.0,3.0658325290089694,0.006393219457408452,7.520389337465592
2.0,2.3668493560187547,0.0010578340746902196,7.016691677173143
2.0,2.320753441698821,1.38030516020813E-4,6.5894712204913715
2.0,2.4854436220150387,6.896105551307814E-8,7.099014524085274
2.0,2.4978543414111543,6.896105551307814E-8,7.550372077048846
2.0,2.361465768415803,5.145437520346586E-7,6.461823456339806
2.0,2.254264640981077,5.145437520346586E-7,6.823486767162095
2.0,2.404064982866286,5.145437520346586E-7,6.884666640227627
2.0,2.5186854753402494,5.145437520346586E-7,6.267130289001772
2.0,3.027183271491952,5.145437520346586E-7,6.017762701404493
2.0,3.0272910000517093,5.145437520346586E-7,6.769282704863762
2.0,2.744145674827339,5.145437520346586E-7,7.446168295704357
2.0,3.297458886092332,5.145437520346586E-7,7.624180354784162
2.0,2.375211205646259,5.145437520346586E-7,6.856523988363213
2.0,2.2984564367378293,5.145437520346586E-7,8.318712525030701
2.0,2.6670372096166184,5.145437520346586E-7,6.764713009495414
2.0,3.279201977748758,5.145437520346586E-7,7.589171162963862
2.0,2.5835089287640574,5.145437520346586E-7,6.231401713421106
2.0,2.3730966822858064,5.145437520346586E-7,6.742885110018037
2.0,2.2293695545095487,5.145437520346586E-7,7.727668473241882
2.0,2.509289283575592,5.145437520346586E-7,7.3532937825935685
